id,objet,adrs,dept,region,social_object1_libelle,titre,facebook_url,helloasso_url
W912007860,"cette association a pour but de faciliter l'intégration des citadins makassa et autres dans la communauté européenne, par un épanouissement intellectuel, culturel, et sportif ; elle a pour ambition de promouvoir, fédérer les groupes et associations qui contribuent au développement du quartier au Cameroun, de faciliter les échanges entre les ressortissants de makassa par tout moyen artistique et économique ; soutenir les actions qui défendent les droits humains, organiser des manifestations culturelles et récompenser tout ressortissants qui valorisent la communauté de makassa",17 rue de la therouanne 77380 combs-la-ville,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION MAKASSA DIASPORA,not found,not found
W912007974,"poursuit le projet initié par l'association allemande ""Saint Thomas Hospital Kinderhilfer in Kamerun"" ; ce projet vise à soutenir la construction et le fonctionnement de lhôpital Saint Thomas dont les fondations ont été posées à proximité de Yaoundé (Cameroun) ; cet hôpital devrait permettre de garantir à tous un accès aux soins, dans un pays où la santé est bien souvent un luxe réservé aux plus favorisés ; l'objectif de ""Graines de Papaye Solidaire"" est de fournir l'aide matérielle nécessaire pour achever les travaux ; à terme, elle pourra organiser le séjour de volontaire pour rencontrer le personnel hospitalier et développer des actions de santé",72 rue jean raynal 91390 morsang-sur-orge,Essonne,Île-de-France,SANTÉ,GRAINES DE PAPAYE SOLIDAIRE,https://www.facebook.com/grainesdepapayesolidaire/,https://www.helloasso.com/associations/graines-de-papaye-solidaire
W912008873,aider les enfants défavorisés et les familles de par le monde particulièrement au Cameroun en facilitant l'accès à l'éducation et à la santé ; aider les veuves à briser l'isolement et à accéder à une vie active par l'écoute et des activités ; aider les orphelins par des prises en charges scolaire et sociale,8 rue paul doumer 91330 yerres,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION LES ANGES DU CUR,https://www.facebook.com/Association-Les-anges-du-C%C5%93ur-2298828733688729/,not found
W912008880,"promouvoir le développement du secteur agro-business au Cameroun et au Tchad, et aussi dans le reste de la zone CEMAC* (Gabon, Guinée Equatoriale) à travers des partenariats publics privés Nord-Sud ; CEMAC : Communauté Economique et Monétaire de l'Afrique Centrale ; Ses champs d'intervention sont : Agriculture, Pisciculture, Sylviculture, Pêche et Elevage, Habitat et Environnement, Santé et Education, Energie, Tourisme, Sport et Culture, Transport, et tout domaine pouvant apporter un mieux-être à l'individu",4 rue du belvedere 91100 corbeil-essonnes,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION  SOLAND FRANCE (ASF),https://www.facebook.com/solandfrance/,https://www.helloasso.com/associations/soland-france
W912008974,favoriser les échanges interculturels ; développer et encourager la solidarité entre les membres ; organiser et participer aux manifestations liées à ses activités ; soutenir la scolarité et le bien-être des enfants des différents villages du Cameroun et de France dont sont issus les membres,2 place albert einstein 91270 vigneux-sur-seine,Essonne,Île-de-France,ACTION SOCIOCULTURELLE,ASSOCIATION INTERNATIONALE D'ENTRAIDE ET DE SOLIDARITE,not found,not found
W912009227,contribuer au développement et a la promotion du tourisme en Afrique et en particulier au Cameroun,13 rue pierre galais 94200 ivry-sur-seine,Val-de-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION HARAMBE,not found,not found
W912009979,promotion des actions citoyennes en vue de l'amélioration de conditions de vie des Camerounais,117 rue de charenton 75012 paris,Paris,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),« 11 MILLIONS DE CITOYENS» FRANCE,not found,https://www.helloasso.com/associations/11-millions-de-citoyens-france
W912010041,"soutien au développement, à l'éducation, la santé, la pauvreté des enfants, des jeunes et des femmes démunis au Cameroun; lutte contre le VIH/SIDA; accompagnement des personnes en situation difficile résidant en France; soutien au village de NDELE ZOETELE CAMEROUN",27 square jean morlet 91390 morsang-sur-orge,Essonne,Île-de-France,DOMAINES DIVERS/ DOMAINES DE NOMENCLATURE SITADELE À RECLASSER,"ALMIDH'ON  (AIDONS-LES, MISSION D'HONNEUR)",not found,not found
W912010174,dons de matériels éducatifs aux instituts spécialisés s'occupant de personnes handicapées  au Cameroun,9 vill1 des clairieres 91080 courcouronnes,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),MMEWEL  CAMEROON-SOUTIEN À L'AUTONOMIE,not found,not found
W912013624,"venir en aide aux enfants du quartier de New-Bell, à Douala au Cameroun",59 bis boulevard henri dunant 91100 corbeil-essonnes,Essonne,Île-de-France,DOMAINES DIVERS/ DOMAINES DE NOMENCLATURE SITADELE À RECLASSER,ASSOCIATION LAIQUE ENFANTS DE NEW-BELL,not found,not found
W912014006,"représenter, rassembler et fédérer le réseau des anciens élèves du lycée français de Yaoundé ; promouvoir les valeurs universelles qu'elle porte  : partage, solidarité, bienveillance et convivialité ; aider à l'orientation des élèves de la seconde à la terminale du lycée français de Yaoundé ; apporter à ses néo-membres un soutien dans leur première expérience de vie étudiante ; apporter à ses membres un soutien dans leurs parcours académiques et professionnels, apporter à ses membres un soutien dans leurs projets personnels ; établir et de développer des relations amicales et des liens de solidarité entre les anciens élèves du lycée français de Yaoundé toutes générations confondues ; gérer un annuaire d'anciens élèves ; servir d'interface d'une part entre, les anciens du lycée français de Yaoundé, et d'autre part entre le lycée français de Yaoundé et ses élèves, l'association des parents d'élèves, les autres associations d'anciens élèves de lycées français du monde, les autres associations d'anciens d'élèves du Cameroun, les autorités nationales et internationales et toutes autres personnes physiques ou morales ; voter ou se donner toute autre mission qu'elle jugera utile en AG ou en bureau ;",40 avenue des bas chaumiers 91170 viry-chatillon,Essonne,Île-de-France,ACTION SOCIOCULTURELLE,ALUMNI DU LYCÉE FRANÇAIS DE YAOUNDÉ,https://www.facebook.com/alfyaounde/,not found
W912014055,"collecter et fournir des médicaments, matériel médical et accessoires, ustensiles d'usage quotidien, meubles, vêtements, etc ;  ;  ; aux populations démunies du Cameroun",19 allee du roi arthur 91000 evry,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),HOPE AND CARE,not found,not found
W912014096,"organiser diverses uvres de bienfaisance et d'activités génératrices de ressources, le soutien au développement local du village Tondè (Cameroun) et l'entraide à toutes les formes d'indigence de ses populations, notamment celles touchant des personnes vulnérables telles que : les écoliers, les jeunes sans emplois, les malades sans ressources, les personnes âgées abandonnées, les familles en grande précarité",2 avenue des sablons 91350 grigny,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION TONDE AVENIR,not found,not found
W912014223,"décider par la volonté des amis ressortissants du Cameroun, vivants sur Paris et Ile de France, ayant pour but de : créer et consolider les liens entre les membres, contribuer et /ou aider un membre en cas de besoin et de dégager une dynamique d'entraide mutuelle ;
Par ailleurs, apporter une aide aux plus démunis ;",1 allee maryse bastie 94550 chevilly-larue,Val-de-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),LES RETROUVAILLES,not found,not found
