,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
1746106,W923005531,EGLISE PROTESTANTE FRANCO-CAMEROUNAISE (E.P.F.C),assurer l'exercice exclusif du culte réformé ; pourvoir en tout ou partie aux frais et besoins du culte et divers services et activités qui peuvent s'y attacher légalement,1,RUE,Charles Beauvais,94380,Bonneuil-sur-Marne,,A,1 RUE Charles Beauvais 94380 Bonneuil-sur-Marne,Val-de-Marne,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.4863097,48.7664798
1746410,W923005835,L OBSERVATOIRE DES TEXTES DE BASE DU RPC,"veiller au respect des textes de base  du rassemblement démocratique du peuple camerounais, lancer des alertes en cas de violation des textes de base du rassemblement démocratique du peuple camerounais, d'être le cadre général de réflexion sur les comportements immoraux et apporter des éléments factuels permettant de dresser un état des lieux précis et des pistes pour lutter contre ces fléaux, d'être le cadre de réflexion, d'éducation et de communication textes de base du rassemblement démocratique du peuple camerounais, militer pour la paix, communiquer et sensibiliser pour la paix l'égalité de tous",10 bis,AV,du beau site,92310,Sèvres,,A,10 bis AV du beau site 92310 Sèvres,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2001385,48.8184572
1746459,W923005884,ASSOCIATION DES BANKONDJI DE FRANCE,"cette association a pour objet principal la promotion des valeur culturelles bankondji situé en pays bamiléké ( ouest- cameroun) , avec un accent mit sur l'assistance, l'entraide, la solidarité internationale et le développement social du village bankondji ; bdf pourra également se consacrer à la promotion des valeurs artistiques et traditionnelles par le biais des actions ponctuelles et autres événements public et privés ; elle s'engage à effectuer des missions ou participer à des projets d'envergure internationales, à caractère culturel , socio-éducatif et humanitaire ; de par son caractère associatif, bdf est à l'écoute et pourra apporter de l'aide à l'insertion, faciliter des liens de solidarité et de fraternité entre ressortissant bankondji de france ; c'est dans cet élan que l'association des bankondji de france pour devise fraternite- solidarite-developpement",6,AV,la Fontaine,94500,Champigny-sur-Marne,,A,6 AV la Fontaine 94500 Champigny-sur-Marne,Val-de-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),REPRÉSENTATION/ PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES,2.5107384,48.8137759
1747808,W923010347,AGAPÉ INTERNATIONAL,"collecte de vêtements, jouets, livres pour enfants ainsi que matériel parapharmacie et fournitures scolaires invendus ; ces articles sont destinés à des orphelinats en république démocratique du congo, au cameroun",114,RUE,du Chateau,92100,Boulogne-Billancourt,,A,114 RUE du Chateau 92100 Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2428906,48.8427883
1748241,W923010783,LA GRANDE FAMILLE BULLOISE,"- le développement collectif et l'entraide de ses membres et des communautés ; - resserrer les liens entre les anciens camarades ; - apporter de l'aide aux personnes en difficultés ; - promouvoir l'éducation, la formation et l'insertion professionnelle des jeunes dans tous les domaines de la vie économique, notamment dans l'agriculture, l'élevage et la transformation des produits ; - promouvoir les relations interculturelles, la culture et les langues africaines, en particulier camerounaise en europe et dans le monde ; - promouvoir et défendre les intérêts des couches défavorisées devant toutes les instances étatiques et/ou internationales - promouvoir et défendre le droit des femmes, des personnes discriminées et des migrants ; - promouvoir la connaissance de l'afrique, de son histoire, des activités économiques et culturelles qui s'y déroulent ; - promouvoir et favoriser le développement personnel des jeunes ; - aider et vulgariser les jeunes sur les réalités de l'immigration et ses risques en europe et en afrique ; - toute autre activité décidée par l'assemblée générale et mentionnée dans le règlement intérieur ;",5,ALL,du Clos Molet,92190,Meudon,,A,5 ALL du Clos Molet 92190 Meudon,Hauts-de-Seine,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.2385432,48.8126688
1748849,W931000333,"ENTENTE LOG MASSENGUE FRANCE ""E.LO.MA.F.""","réunir toutes les familles massengue de france et dailleurs, organiser les rencontres conviviales, promouvoir lentraide, tisser des liens étroits entre les familles massengue du cameroun et celles de france, promouvoir les actions culturelles",9,ALL,des Bathes,91940,Les   Ulis,,A,9 ALL des Bathes 91940 Les   Ulis,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.1762156,48.6858644
1749516,W931001002,LAMAT (LA MAIN TENDUE),la lutte pour l'alphabétisation des femmes en milieux rural au cameroun ; ainsi que la lutte contre la pauvreté par la création de la micro entreprise. lamat interviendra aussi dans les domaines de la santé,19,RUE,André Joineau,93310,Le Pré-Saint-Gervais,,A,19 RUE André Joineau 93310 Le Pré-Saint-Gervais,Seine-Saint-Denis,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,DÉFENSE DE DROITS FONDAMENTAUX/ ACTIVITÉS CIVIQUES,2.4040327,48.8867793
1749686,W931001172,ASSOCIATION D'AIDE AUX ENFANTS DEFAVORISES DU CAMEROUN ET DU CONGO (A.E.D.),agir essentiellement dans l'optique d'aider et d'assister les enfants se trouvant dans des situations difficiles au cameroun,28,BD,Aristide  Briand,93100,Montreuil,,A,28 BD Aristide  Briand 93100 Montreuil,Seine-Saint-Denis,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.449086,48.869372
1749947,W931001433,ASSOCIATION NLONG DIBANG DE FRANCE (ANDIF),"d'aider les populations camerounaises les plus démunies, les handicapés, les orphelins et les malades du sida. d'approvisionner les centres de santé en médicaments, matériel médical et consommables, d'aider à l'éducation des enfants des familles les plus démunies. d'aider à la construction des écoles dans les quartiers et dans les villages, à l'approvisionnement en électricité, puits et bornes fontaines. promouvoir des activités sportives et culturelles des jeunes des quartiers.",6,RUE,du Chemin Vert,93000,Bobigny,,A,6 RUE du Chemin Vert 93000 Bobigny,Seine-Saint-Denis,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.4457773,48.9047839
1750528,W931002018,ASSOCIATION DES BAPOUMPA DE FRANCE (A.B.F.),"favoriser l'entraide et la solidarité entre tous les ressortissants du village bapoumpa, résident en france. participation active de ses adhérents à la réalisation des projets pour le développement économique culturel et social du village bapoumpa par bangangté, ville située à l'ouest du cameroun.",2,RUE,des Usellles,77280,Othis,,A,2 RUE des Usellles 77280 Othis,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,2.6705562,49.0779972
