,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
375654,W273004275,SOLIDARITE MEFOU ET AFAMBA,"collecter tous matériels, produits, matériel médical, médicaments non utilisés, matériel scolaire, véhicules et divers, les entreposer, puis les acheminer au cameroun, afrique, à destination de la ville de mfou, centre, ceci dans un but humanitaire, afin d'aider et accompagner la population dans son développement et faciliter notamment l'accès aux soins et à la scolarité",7,RTE,de Verneuil,27570,Tillières-sur-Avre,,A,7 RTE de Verneuil 27570 Tillières-sur-Avre,Eure,Normandie,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.0566716,48.7575005
375999,W273004720,PALA-RUGLES 27250,"apporter toute aide matérielle, morale ou financière aux enfants pauvres de la rue, orphelins ou déshérités et handicapés du cameroun ; 
ceci dans un but humanitaire, afin d'aider et d'accompagner la population de ce pays dans son développement et faciliter notamment l'accès à la scolarité ; travailler en étroite collaboration avec l'association camerounaise : association enfance heureuse pour la vie ;",16,RUE,Georges Clemenceau,27250,Rugles,,A,16 RUE Georges Clemenceau 27250 Rugles,Eure,Normandie,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,0.7003317,48.8217611
376438,W273008158,AMICALE 237,"soutenir et accompagner les actions de développement dans les domaines de l'éducation, de la santé, du social, de l'humanitaire au cameroun et dans les pays à ressources limitées ; apporter aux membres un environnement d'échanges fraternel, amical et convivial",14,RUE,de l Epargne,27000,Évreux,,A,14 RUE de l Epargne 27000 Évreux,Eure,Normandie,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,1.1397676,49.0181342
376597,W273008317,PARTI CAMEROUNAIS POUR LA RÉCONCILIATION NATIONALE FRANCE,"participer aux projets de codéveloppement entre la france et le cameroun
contribuer à l'épanouissement des camerounais d'origine et ceux de la diaspora
contribuer à la décentralisation des pouvoirs et services publics
renforcer l'unité salutaire du cameroun
accélérer la pratique de la démocratie pluraliste dans le respect des lois et règlements
favoriser les initiatives des camerounais de la diaspora",25 B,RUE,des Champsbourgs,27200,Vernon,,A,25 B RUE des Champsbourgs 27200 Vernon,Eure,Normandie,ACTIVITÉS POLITIQUES,AUTRES,1.4912865,49.089731
379867,W281002918,LES AMIS DU VILLAGE MBANTOU,récolter les fonds nécessaires à l'électrification du village mbantou au cameroun,5 ter,IMP,Clos Thiron,28630,Morancez,,A,5 ter IMP Clos Thiron 28630 Morancez,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.4874539,48.4169472
380779,W281003832,ICI OU AILLEURS DONNONS UN SOURIRE,"aider des enfants à continuer leur scolarité en apportant des moyens intellectuels ou matériels, améliorer les conditions de vie des enfants et leur permettre de se construire un avenir au sein de leur village. accompagner et aider les parents dans leur rôle d'éducateurs, favoriser l'amitié, l'accueil et une découverte réciproque entre la france et le cameroun en développant des relations culturelles, associatives, scolaires, sportives économiques? faire des manifestations : expositions, fêtes? dans le but de faire connaître l?association et promouvoir nos actions. apporter une aide technique et un savoir faire aux personnes ou associations souhaitant établir des liens ou organiser des échanges dans tous ces domaines",4,RES,du moulin,28150,Ouarville,,A,4 RES du moulin 28150 Ouarville,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.7700145,48.3544645
381814,W281004870,CHORALE SAINTE MARIE,"animer des célébrations eucharistiques dans toutes les paroisses catholiques romaines de france ; favoriser des échanges inter-chorales en france et également au cameroun dans le cadre de concerts organisés et à son libre initiative ; soutenir matériellement et financièrement les chorales du cameroun au cas par cas en les dotant de partitions liturgiques, de micros, les aider à participer à des sessions de formations ou autres concours lyriques",F,RUE,Alfred Manceau,28230,Épernon,,A,F RUE Alfred Manceau 28230 Épernon,Eure-et-Loir,Centre-Val de Loire,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,1.6702848,48.6064849
382060,W281005116,"ASSOCIATION D'AIDE AUX DEVELOPPEMENTS ""FEMME ENFANT DE L'OUEST DU CAMEROUN""  (ADFEOC)","aider les femmes et les enfants des maternités, des hôpitaux et des écoles de l'ouest du cameroun",34,RUE,de la République,28320,Gas,,A,34 RUE de la République 28320 Gas,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.6681519,48.5637857
382367,W281005424,DIENDE II,mettre en place et développer une exploitation agricole au cameroun,81,RUE,de la République,28300,Mainvilliers,,A,81 RUE de la République 28300 Mainvilliers,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.4701153,48.4480551
382597,W281005654,ASSOCIATION HUMANITAIRE LA COLOMBE (ASLAC),"l'aslac mène des activités pour la promotion de l'éducation des enfants en stratégie de survie en afrique et particulièrement au cameroun et au mali? etc. ; l'aslac est une association laïque et à but non lucratif ; elle a pour champ d'action l'afrique noire ; elle y intervient dans le cadre du développement durable ; dans sa démarche participative elle a pour buts d'apporter une assistance multiforme aux populations nécessiteuses des zones urbaines très pauvres et des zones rurales enclavées : promouvoir les droits humains l'équité et le genre, lutter contre toutes les formes contemporaines de l'esclavage ; moyens d'action ; organisations des campagnes (soutien scolaire, aide alimentaire d'urgence, lutte contre les maladies endémiques, l'assainissement, etc.) ; le plaidoyer, la formation, l'appui conseil, mobilisation sociale, des camps chantiers, voyages, foires culturelles, et le suivi évaluation",2 A,RUE,Joseph Frantz,28000,Chartres,,A,2 A RUE Joseph Frantz 28000 Chartres,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.5109278,48.4393727
382684,W281005742,ASSOCIATION DES DIABÉTIQUES AFRICAINS,"dynamiser la culture camerounaise, organiser des manifestations, récolter des fonds afin de venir en aide aux enfants déshérités du cameroun sur le plan de la santé, de l'éducation et de l'assistance",2,RUE,des Trois Cheminées,45750,Saint-Pryvé-Saint-Mesmin,,A,2 RUE des Trois Cheminées 45750 Saint-Pryvé-Saint-Mesmin,Loiret,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.8810072,47.885713
383050,W281006209,ASSOCIATION FEUGNOUN DE FRANCE - (FEDEF),"elle a pour objet de mettre les compétences des membres au service des plus défavorisés en particulier le village de feugnoun au cameroun, où encore aucune ong n'intervient ; elle met en oeuvre des projets à long terme dans le cadre d'un développement intégré prenant en compte les besoins exprimés des populations : action humanitaire, construction des écoles et parrainage des enfants, aider les femmes créatrice et repreneuse d'entreprise de village feugnoun au cameroun à mieux réaliser leur projet de création ou reprise, nutrition des enfants, la santé, dans le cadre des actions de solidarité internationale",100 bis,RUE,des Grandes Filles Dieu,28000,Chartres,,A,100 bis RUE des Grandes Filles Dieu 28000 Chartres,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.4919249,48.450909
383653,W281009814,BON BA NGOG LITUBA POUR LA CULTURE ET LE DÉVELOPPEMENT,"nos objectifs sont de mener des actions humanitaires en destination des bassa mpooh et bati en situation de 
précarité ; 
regrouper sous forme de réseau les associations, les organismes, les fédérations ou toute 
personne physique ou morale uvrant pour la défense des intérêts de la famille bassa mpooh et bati ; 
permettre à ses membres d'acquérir, par la pratique, les connaissances économiques et 
financières ; 
constituer des membres de la communauté bassa mpooh et bati qui souhaitent investir dans la 
région bassa mpooh et bati au cameroun en proposant des investissements dans des domaines variés de 
l'économie et de la culture
pour y parvenir, l'association bon ba ngog lituba pour la culture et le developpement se 
propose de : 
- promouvoir les régions et la culture bassa mpooh bati ; 
- promouvoir l'éduction culturelle et financière des membres",03,RUE,Saint Lubin Appt 12,28000,Chartres,,A,03 RUE Saint Lubin Appt 12 28000 Chartres,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,1.4881434,48.4438601
383657,W281009818,GROUPE D'INVESTISSEURS DES PROJETS INNOVANTS CAMEROUNAIS,contribuer à améliorer les conditions de vie des membres et des habitants du cameroun en  soutenant des initiatives communautaires dans les zones rurales du cameroun; lutter contre l'exode rural et la migration des jeunes du cameroun; trouver des investisseurs étrangers et les accompagner dans l'élaboration des projets dans notre pays; réaliser des projets d'envergure pour le développement économique de notre pays; renforcer le sentiment d'appartenance et de cohésion sociale entre tous ses membres.,83,RUE,François Foreau,28110,Lucé,,A,83 RUE François Foreau 28110 Lucé,Eure-et-Loir,Centre-Val de Loire,AIDE À L'EMPLOI/ DÉVELOPPEMENT LOCAL/ PROMOTION DE SOLIDARITÉS ÉCONOMIQUES/ VIE LOCALE,AUTRES,1.4647554,48.4352629
384799,W282001061,ASSOCIATION FRANCO-CAMEROUNAISE OKALA-MANGA,"aide aux femmes seules et aux orphelins, assistance à la petite enfance, création de boutiques sociales, réalisation de ventes, création des manifestations ou spectacles, réalisation de forages et de puits, fourniture de moyens éoliens et solaires ainsi que toutes autres actions",28,RUE,de la Croix Rousseau,28200,Châteaudun,,A,28 RUE de la Croix Rousseau 28200 Châteaudun,Eure-et-Loir,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,1.3412864,48.0654272
388347,W283006287,LYMANKONG COMMUNITY REDI,"rassembler tous les anciens élèves du lycée du manengouba cuvée 70-80, en europe, aux etats unis d'amérique et partout ailleurs, en dehors de l'afrique ; canaliser les forces de tous les fils et les filles du lymankong aux fins de prévoyance, de solidarité et d'entraide ; reconstituer la grande famille lymankong en retrouvant tous ses enfants perdus de vue et en leur offrant un ""logement luxueux"" au ""village lymankong"" ; mutualiser les énergies de ses membres où qu'ils soient, en vue d'apporter leurs expertises et assistance aux collectivités territoriales décentralisées au cameroun en général et de nkongsamba en particulier ; concourir par tous les moyens non interdits par les lois et règlements au bien-être de ses membres ; encourager par des mesures incitatives les retraités à se reconvertir et à mettre leurs talents et savoirs faire au service de l'emploi ; contribuer au développement infrastructurel, scolaire et culturel du lycée du manengouba et de la région du moungo ; galvaniser, animer et soutenir les activités sportives scolaire dans la région en général et au lycée du manengouba en particulier",26,RUE,de la Sablonnière,28100,Dreux,,A,26 RUE de la Sablonnière 28100 Dreux,Eure-et-Loir,Centre-Val de Loire,ÉDUCATION  FORMATION,AUTRES,1.3623937,48.7430433
389691,W284001025,"ASSOCIATION HUMANITAIRE ""LA COLOMBE""","intervenir dans le domaine de l'éducation : construction des écoles, parrainages et toute action dans le sens de la scolarisation ; hygiène et santé. construction des forages et centres de santé, accès aux soins pour les personnes précaires. environnement lutte contre la désertification, plantation d'arbres, culture bio. ramassage des déchets et recyclage ; organiser les rencontres culturelles entre la france et le cameroun ; rechercher dons et financements, membres bienfaiteurs et partenaires",,,La Maison Neuve,28400,Saint-Jean-Pierre-Fixte,,A,La Maison Neuve 28400 Saint-Jean-Pierre-Fixte,Eure-et-Loir,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,0.8363714,48.2939981
393983,W291003970,RELAIS BRETAGNE-AFRIQUE,"aide aux enfants défavorisés du cameroun, promotion de la culture camerounaise",108,BD,de l'Europe,29200,Brest,,A,108 BD de l'Europe 29200 Brest,Finistère,Bretagne,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-4.4968521,48.4130573
394887,W291004874,AMICALE DES CAMEROUNAIS DE BREST (ACB),développer et organiser la solidarité et l'entraide entre les camerounais de brest ; mettre en valeur la culture camerounaise dans toutes ses dimensions et la faire connaître aux brestois ; favoriser les relations interculturelles et économiques entre camerounais et brestois,2,RUE,du 3ème RAP,29200,Brest,,A,2 RUE du 3ème RAP 29200 Brest,Finistère,Bretagne,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,-4.4860088,48.3905283
395577,W291005564,ASSOCIATION CAMEROUNAISE DES ETUDIANTS DE BREST (A.C.E.B.),"accueillir, suivre et intégrer les nouveaux membres désireux de poursuivre leurs études, leurs formations à brest, veiller à la bonne intégration social de ses adhérents grâce notamment à des excursions, activités sportives et culturelles ; développer et cultiver des rapports d'entraide, de respect et un esprit de solidarité entre ses membres ; mobiliser et sensibiliser les nouveaux membres aux difficultés qu'ils peuvent rencontrer, aider s'il y a besoin, ses adhérents en difficultés ; assurer la promotion de la culture africaine en général, et camerounaise en particulier, en france et dans la région en particulier, par le biais de soirées culturelles, d'animations et d'activités de loisir",20,AV,Le Gorgeu,29200,Brest,,A,20 AV Le Gorgeu 29200 Brest,Finistère,Bretagne,ÉDUCATION  FORMATION,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,-4.4860088,48.3905283
395856,W291005843,VIVRE LE MBAM (CAMEROUN),"améliorer les conditions des indigents au cameroun grâce à la collecte de vêtements, médicaments ;  rassembler les fonds nécessaires pour la construction de dispensaires grâce à l'organisation d'évènement festifs",5,RUE,de la Victoire,29480,Le    Relecq-Kerhuon,,A,5 RUE de la Victoire 29480 Le    Relecq-Kerhuon,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-4.391046,48.4054929
396556,W291006543,POUALA - ENFANTS DU VILLAGE,"regrouper les ressortissants de l'ouest cameroun d'origine ou par alliance résident en bretagne, promouvoir la richesse de la culture de la région de l'ouest cameroun et surtout aider le peuple défavorisé résidant à l'ouest cameroun",14,RUE,Quéliverzan,29200,Brest,,A,14 RUE Quéliverzan 29200 Brest,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.5064156,48.3886578
396605,W291006592,LAA'KAM,traiter les problèmes sociaux et humanitaires de l'ouest cameroun,27,RUE,des Baquetiers,29200,Brest,,A,27 RUE des Baquetiers 29200 Brest,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.4827723,48.3943106
396775,W291006762,NAM,"promouvoir la culture camerounaise et afro-antillaise, par le biais de manifestations diverses (rencontres sportives, culturelles...) mais aussi d'aider les jeunes africains arrivant en france pour la premiere fois, a s'integrer plus facilement",,,,29200,Brest,,A,29200 Brest,Finistère,Bretagne,ACTION SOCIOCULTURELLE,AUTRES,-4.4860088,48.3905283
396879,W291006866,ASSOCIATION ESSAYONS VOIR DE BREST,entraide solidaire entre familles franco camerounaise,14,RUE,de Gouesnou,29200,Brest,,A,14 RUE de Gouesnou 29200 Brest,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),-4.4675874,48.4042539
397124,W291007114,AU SERVICE DE LA VIE CAMEROUN,"venir en aide aux enfants orphelins, aux mères isolées et favoriser l'insertion scolaire des enfants au cameroun",56,BD,Clémenceau,29480,Le    Relecq-Kerhuon,,A,56 BD Clémenceau 29480 Le    Relecq-Kerhuon,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.4044888,48.39616
398716,W291008707,BENKA LIFE,"formation des secouristes-sauveteurs ; construction et équipement des postes de secours ; construction et équipement des dispensaires ; installation des services de secours, d'urgence et de sauvetage dans des dispensaires de campagne ; promotion et vulgarisation des services d'urgence, de secours, et de sauvetage à la personne ; médicalisation des triporteurs pour le transport des personnes en détresse et à mobilité réduite ; médicalisation des triporteurs pour le transport des futures mamans, des blessés et des malades ceci sur le territoire camerounais",202,RUE,Jean Jaures,29200,Brest,,A,202 RUE Jean Jaures 29200 Brest,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.4727967,48.3989597
399789,W291009780,CAMEROUN AFRIQUE EN MINIATURE-BRETAGNE,"elle a pour objet la valorisation de la culture et des industries culturelles du cameroun, la promotion des industries touristiques des deux régions, l'information constante et permanente des adhérents, la participation sur le territoire camerounais au développement et à la vulgarisation des ntic, l'accueil, le conseil et les aides aux sans papiers, étudiants et résidents dans les domaines de la santé, du social et de l'humanitaire",,,,29200,Brest,,A,29200 Brest,Finistère,Bretagne,TOURISME,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),-4.4860088,48.3905283
400424,W291010422,ASSOCIATION DES CAMEROUNAIS DU FINISTERE,solidarité et intégration de la communauté dans le finistère à travers diverses actions.,,,,29200,Brest,,A,29200 Brest,Finistère,Bretagne,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,-4.4860088,48.3905283
401041,W291014139,ASSOCIATION ENFANCE JEUNESSE JOYEUSE ET PLUS DU CAMEROUN,"assister et apporter secours aux personnes démunies, favoriser l'éducation, lutter contre l'alphabétisme et promouvoir la santé",10,RUE,des Ajoncs d'Or,29200,Brest,,A,10 RUE des Ajoncs d'Or 29200 Brest,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-4.4842798,48.4172831
401630,W291014728,BESNIBES,"promouvoir l'entraide mutuelle et égale entre les membres, consolider l'amitié existante entre les membres, promouvoir et connaître les différentes cultures des membres, promouvoir la culture camerounaise en particulier du peuple    ""bassa"" en bretagne, être solidaire dans toutes les étapes de la vie des membres, mener des actions sociales et humanitaires auprès de la population défavorisée du cameroun",15,RUE,Kerber,29200,Brest,,A,15 RUE Kerber 29200 Brest,Finistère,Bretagne,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-4.5373803,48.3812095
406466,W292007493,ACTION SOLIDARITE  FRATERNITE CAMEROUN,"apporter une aide sociale, médicale, financière, éducative, et matérielle aux enfants de la rue et aux orphelins ; enfants dont les parents sont décédés du vih sida ; encadrer psychologiquement la personne âgée, en particulier les personnes souffrant de la démence",48,RUE,François Mitterand,29270,Plounévézel,,A,48 RUE François Mitterand 29270 Plounévézel,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-3.5955047,48.2945143
409004,W293002295,ASSOCIATION BZHCAM  (BRETAGNE CAMEROUN),"développer les échanges culturels entre la bretagne et le cameroun; soutenir des actions de développement, de création et de diffusion de spectacles vivants sous toutes leurs formes",28,IMP,Georges Brassen,29600,Morlaix,,A,28 IMP Georges Brassen 29600 Morlaix,Finistère,Bretagne,ACTION SOCIOCULTURELLE,AUTRES,-3.8331972,48.5824932
409239,W293002530,LIKABA-CAM,"apporter une aide humanitaire matérielle ou financière à des associations camerounaises ou africaines qui oeuvrent dans le domaine social ou environnemental (orphelinats, handicapés, faune sauvage ...)",5,RUE,de Kerjean,29400,Plounéventer,,A,5 RUE de Kerjean 29400 Plounéventer,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.2191963,48.5072664
411438,W293004848,BRETAGNE CAMEROUN,"porter aide, soutient humain, matériel et sanitaire au plus défavorisé de la population camerounaise",,,,29600,Plourin-lès-Morlaix,,A,29600 Plourin-lès-Morlaix,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-3.7879531,48.5368636
417326,W294005380,LES AMIS DE MÉLANE,"aider la localité de mélane, au cameroun, sur les plans économique, éducatif, culturel et sanitaire",32,RUE,du Chapeau Rouge,29000,Quimper,,A,32 RUE du Chapeau Rouge 29000 Quimper,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-4.1078176,47.9964978
418264,W294006318,ALPHABECAM,"apporter une aide matérielle et logistique et des soutiens de toutes natures, permettant aux élèves des établissements scolaires du cameroun de bénéficier de meilleures conditions d'enseignements",7,PL,de Penvillers,29000,Quimper,,A,7 PL de Penvillers 29000 Quimper,Finistère,Bretagne,ÉDUCATION  FORMATION,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-4.0986016,48.0074655
419392,W294007547,ASSOCIATION NOUN MON BEAU DÉPARTEMENT,"organiser les activités socioculturelles et autres afin de promouvoir la diversité culturelle ; participer aux activités de bénévolat dans la communauté en collaboration avec les organismes du milieu, aider les nouveaux arrivants à s'impliquer et mieux s'intégrer ; organiser des activités sportives ; représenter l'association dans les évènements organisés lorsque l'association est sollicitée ; collaborer avec les institutions d'enseignement  et de formation pour aider les nouveaux arrivants et des personnes en besoin ; appuyer les personnes qui ont des projets opérationnels de développement dans le domaine de l'éducation, la santé etc ; organiser des évènements de financement afin de soutenir des projets ; collecter des manuels scolaires usagés pour les acheminer au cameroun ; assister les enfants orphelins et démunis, ainsi que les femmes ; sensibiliser la population et lutter pour l'égalité des chances entre hommes et femmes ; agir le plus efficacement possible auprès de la populatio",6,CITE1,de Brehuel,29100,Douarnenez,,A,6 CITE1 de Brehuel 29100 Douarnenez,Finistère,Bretagne,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,-4.3311243,48.0944459
419962,W294011117,COUP D'POUCE AUX ENFANTS DU CAMEROUN,"soutenir les soeurs de l'institut camerounais (créé en 1995 et dont le siège social est à ebolowa au cameroun) dans leurs actions qu'elles mènent auprès des enfants : éducation, vie quotidienne, scolarité, activités extra-scolaires etc",,,Lestrevihan,29700,Plomelin,,A,Lestrevihan 29700 Plomelin,Finistère,Bretagne,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),-4.1605941,47.9005509
420090,W294011245,COEURS UNIS DU MONDE,"apporter, afin de faire reculer progressivement les frontières de la misère et de la pauvreté, une attention particulière aux orphelins, aux enfants abandonnés des pays africains et le cameroun en particulier, pour leurs permettre de progresser à travers une éducation et des formations professionnelles de qualité afin qu'ils soient libres de décider d'un avenir meilleur, et restituer aux handicapés et personnes âgées toute la dignité de l'amour et sa raison d'être",111,RUE,de Kerambellec,29000,Quimper,,A,111 RUE de Kerambellec 29000 Quimper,Finistère,Bretagne,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),INTERVENTIONS SOCIALES,-4.0662358,47.9831167
425640,W2A4000401,ASSOCIATION DE SOUTIEN AUX ENFANTS CAMEROUNAIS - ASEC,"association à but humanitaire. elle apporte aide et assistance aux personnes très démunies du cameroun par la fourniture de : - matériel médical et médicaments - biens d'équipement - matériel scolaire et éducatif - vêtements, ainsi que toute action se rapportant en cas d'urgence ou non à l'assistance sanitaire et éducative. l'a.s.e.c. se veut apolitique et ouvert à toutes les religions ou rites tribaux.",,,Trinité,20137,Porto-Vecchio,,A,Trinité 20137 Porto-Vecchio,Corse-du-Sud,Corse,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,9.2894412,41.6276707
435817,W301002603,FARESO FRANCE,"récolter des fonds, faire connaître le travail de fareso cameroun qui vient en aide à des enfants et des jeunes en difficultés sociales en vue de leur intégration par la scolarisation et la formation agro-pastorale",,,Les Roussels,48400,Rousses,,A,Les Roussels 48400 Rousses,Lozère,Occitanie,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,3.5912995,44.2043003
438770,W301008660,HOPE FOR LIFE,développer des actions de solidarité internationale en faveur de l'enfance vulnérable en particulier des orphelins du cameroun mais aussi dans d'autres pays du sud,176,RTE,de Saint-Ambroix,30340,Rousson,https://hopeforlife.international,A,176 RTE de Saint-Ambroix 30340 Rousson,Gard,Occitanie,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.1247439,44.1821193
