id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,mot_cle
W121002018,LES DOIGTS D'OR,"fournir un service gratuit a une population la plus large possible c'est â dire â partir de 10 ans, dans un apprentissage des travaux manuels. proposer durant 2 heures environ, un temps d'initiation ou d'approfondissement, dans le but d'amener l'adhérent à une autonomie progressive de la couture principalement. tout étant ouvert sur les savoirs et apports quelconques que pourrait à tout niveau de l'association fournir chaque membre adhérent",3,RUE,Frangi et Ortéga,12400,Saint-Affrique,,A,Ouvert
W121002032,(ASSOCIATION) FAMILLES RURALES DE SEVERAC D'AVEYRON,"grouper les familles vivant en milieu rural et assurer la défense de leurs intérêts matériels et moraux ; à ce titre, intervenir dans tous les domaines concourant à la promotion des familles et de chacun de leurs membres, ainsi qu'à l'amélioration de la qualité de la vie, notamment ceux soumis à l'agrément des pouvoirs publics et semi-publics",15,RUE,Frédéric Mistral - Séverac-le-Château,12150,Sévérac d'Aveyron,,A,Semi
W121002090,VELO CLUB DE LA VALLEE DE LA SORGUES,"organiser des manifestations et faire que le sport soit ouvert sur la société, qu'il soit un élément de culture, de plaisir, adapté à tous, dans le cadre de nos valeurs fondatrices (à savoir laïcité, citoyenneté et solidarité)",,,,12540,Fondamente,,A,Ouvert
W121002095,LE G.R.E.S. ( GROUPEMENT RURAL D'ENTRAIDE SOLIDAIRE),"créer, gérer, animer, soutenir des activités de redynamisation du milieu rural de viala du tarn, dans les domaines économiques, social ou culturel, et en premier lieu soutenir l'installation de luc dubreuil en qualité d'exploitant agricole et éleveur sur la ferme du grès au viala du tarn, par toutes actions appropriées",,,,12490,Viala-du-Tarn,,A,Viala
W121002113,[ SFC ] ORGANISATION,"développer une communauté d'échanges et de rencontres, basé sur l'organisation de journée de jeux en réseau, à fin de promouvoir les technologies de l'informatique et de la communication",,IMP,Jean-Jacques Rousseau,12100,Millau,,A,Basé
W121002134,LA COMPAGNIE DES CAUSSES,"dans un but culturel, pédagogique et festif, tourné vers le théâtre, le chant, la musique, la sculpture, la peinture,  animer les villages des causses tout au long de l'année, soit par des spectacles, soit par des groupes d'apprentissage",8,LOT,Le Bosc,12230,La    Cavalerie,,A,Long
W121002137,VIVRE A SAINT PAUL DES FONTS,"agir pour la défense du village de saint-paul et de ses alentours dans le cadre du respect de ses valeurs rurales et morales, de son patrimoine, de l'environnement ; intervenir auprès des organismes compétents en vue d'obtenir la réalisation de ses résolutions prises en assemblée générale ; assurer la sauvegarde de ses droits auprès des organismes publics, administratifs ou politiques ; améliorer la vie sociale du village par des animations ou autres activités",,,,12250,Saint-Jean-et-Saint-Paul,,A,Saint Paul
W121002154,LES AMIS D'EUGENE VIALA ET DU LEVEZOU,"la sauvegarde, la connaissance, le rassemblement et la diffusion des oeuvres du peintre et plus largement, à partir de celles-ci, se proposer de développer des activités culturelles et artistiques ; dans le cadre de celles-ci, envisager plus précisément l'organisation de conférences, d'expositions, de concerts, de représentations théâtrales, de manifestations socio-culturelles, etc. ; au-delà, encourager et contribuer à la découverte du plateau du levézou, ceci à travers son patrimoine historique, archéologique et notamment ses traditions, ses usages, sa langue et son environnement naturel",,,,12410,Salles-Curan,,A,Viala
W121002190,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DU RANCE,soutenir financièrement les projets pédagogiques ; organiser des rencontres entre parents d'élèves,,,,12370,Belmont-sur-Rance,,A,Ecole
W121002207,LA BANDE A DEDE,"promouvoir la mobylette, organiser des rencontres entre passionnés, se réunir, échanger des pièces",,,,12490,Saint-Rome-de-Cernon,,A,Bande
W121002223,ASSOCIATION SPORTIVE SCOLAIRE USEP DE L'ECOLE PUBLIQUE DE VABRES-L'ABBAYE,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre du fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,RUE,des Espaliès,12400,Vabres-l'Abbaye,,A,Ecole
W121002269,U.S.E.P.(UNION SPORTIVE DE L'ENSEIGNEMENT PREMIER DEGRE) DE L'ECOLE ELEMENTAIRE DU PUITS DE CALES,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,IMP,du Docteur F. Barsalou,12100,Millau,,A,Ecole
W121002297,ASSOCIATION DES AMIS DE L'ECOLE DE MUSIQUE,"servir d'intermédiaire entre l'ecole de musique et les municipalités, et promouvoir l'enseignement musical dans le rougier",,,,12360,Camarès,,A,Ecole
W121002323,LA REMOUTARIE,"aider à l'installation d'un collectif de paysan(ne)s et artisan(ne)s ayant comme vocation principale plus d'autonomie collective, alimentaire, énergétique et culturelle ; organiser des évènements permettant de financer des projets liés à son action, permettre la mise en réseau et l'échange avec des personnes et associations intéressées par son objet ; développer des activités agricoles pour la production, la transformation et la commercialisation de tous produits d'origine agricole, privilégiant l'utilisation de produits naturels non synthétiques à tous les stades des opérations (fumure, défense végétale, alimentation des animaux) et de techniques non agressives ; proposer et réaliser une forme de vie en collectif originale, sans hiérarchie sociale ou politique, dans laquelle chaque individu participe activement et personnellement au fonctionnement matériel et à l'obtention des ressources de l'association, laquelle en retour assure à tous ses membres la satisfaction des besoins fondamentaux (logement, nourriture, accès à la culture, éducation et scolarisation des enfants, etc) ; préserver le patrimoine naturel et participer à la vie locale, favoriser une réflexion sur les énergies alternatives renouvelables l'éco-construction et les habitats légers et mobiles ; assurer la formation de ses membres à toute tâche relative à son objet ; mise à disposition non lucrative d'espaces partagés à d'autres associations en accord avec les fondements de l'association ; parvenir au maintien ou au développement d'une collectivité d'individu-es vivants ensemble, avec pour vocation de vivre de façon autonome, militante et solidaire, largement ouvert vers l'extérieur par des communications culturelles, sociales, éducatives, formatrices, festives...",,,,12400,Rebourguil,,A,Ouvert
W121002333,ECOLE DE BOWLING DE MILLAU,promotion et développement de la pratique du bowling chez les jeunes,,,Centre Commercial du Cap du Crès,12100,Millau,,A,Ecole
W121002362,A LA CANTONADE,"développer la vie culturelle dans les 5 cantons de belmont, camarès, saint-affrique, saint-rome de tarn et saint-sernin, en organisant des manifestations culturelles, avec pour but : favoriser la création, la réflexion, la communication et la collaboration entre les artistes professionnels, semi-amateurs, amateurs et tous intéressés de même discipline artistique ou de disciplines différentes ; faciliter les échanges avec la population à travers les arts et pratiques artistiques ; mettre en valeur l'environnement naturel et culturel sur les 5 cantons",,,,12360,Sylvanès,,A,Semi
W121002382,ASSOCIATION AMICALE DES ANCIENS ELEVES DE L'ECOLE PIGIER BUREAU DE MILLAU,"venir en aide à ses membres, constituer le parrainage des jeunes sociétaires par les anciens ; établir entre tous les sociétaires des relations amicales ; organiser des activités culturelles et sportives",19,AV,de la république,12100,Millau,,A,Ecole
W121002425,ASSOCIATION D'EDUCATION POPULAIRE DE L'ECOLE PRIVEE MIXTE DE BRUSQUE,éducation populaire,,,,12360,Brusque,,A,Ecole
W121002444,MOSTRA DEL LARZAC,"promouvoir, dans une région injustement deshéritée, une activité artistique d'esprit coopératif, en étroite relation avec le milieu paysan, sa tradition et les produits du sol ; une exposition annuelle d'art moderne, où seront sélectionnés les peintres, sculpteurs, photographes d'art, décorateurs, architectes du midi de la france, fera la preuve qu'entre l'art populaire et l'art contemporain authentique, il n'existe pas de rupture ; un bureau de renseignements s'efforcera d'introduire à une compréhension en profondeur des richesses naturelles du pays occitan, de son patrimoine historique, littéraire et artistique",,,,12230,La    Couvertoirade,,A,Midi
W121002446,COMITE DES FETES DE SAINT PAUL DES FONTS,maintenir les festivités dans le village,,,,12250,Saint-Jean-et-Saint-Paul,,A,Saint Paul
W121002465,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DES CANABIERES,la participation des parents d'élèves à la vie associative de l'école publique,,,,12410,Salles-Curan,,A,Ecole
W121002476,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DU TRUEL,"soutenir toutes activités péri- et post-scolaires ; régir le financement, la mise en place et l'aménagement d'horaires pour l'aide maternelle",,,,12430,Le    Truel,,A,Post
W121002512,FOYER RURAL DES JEUNES DE CALMELS ET LE VIALA,"réunir les jeunes afin de contribuer à leur épanouissement, les moyens employés étant d'ordre moral (activités de loisirs et d'échanges, ambiance de détente, etc)",,,,12400,Calmels-et-le-Viala,,A,Viala
W121002555,COMITE DU JUMELAGE CAMARES - LAURENS,"jumelage entre les villes de camarès (12360, aveyron, midi-pyrénées) et de laurens (34480, hérault, languedoc-roussillon) ; promotion et organisation d'échanges culturels, sociaux, éducatifs, scientifiques, sportifs, sous toutes les formes",11,,Grand Rue,12360,Camarès,,A,Midi
W121002568,BASKET CLUB SEVERAGAIS,"organiser des rencontres amicales ou en championnat aloa, de basket ; donner un encadrement d'adultes à des enfants mineurs qui veulent pratiquer ce sport",,,,12150,Lapanouse,,A,Aloa
W121002589,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE BELMONT SUR RANCE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12370,Belmont-sur-Rance,,A,Ecole
W121002597,COOPERATIVE SCOLAIRE DE L'ECOLE PUBLIQUE JEAN DE LA FONTAINE,"gérer les subventions accordées à l'école, ainsi que les éventuels donc versés à la coopérative scolaire",,,,12400,Vabres-l'Abbaye,,A,Ecole
W121002606,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE D'ALRANCE,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'usep",,,,12430,Alrance,,A,Ecole
W121002607,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT ROME DE TARN,regrouper l'ensemble des parents d'élèves de l'école publique afin de propager et défendre l'idéal laïque,,LOT,Saint-Ferréols,12490,Saint-Rome-de-Tarn,,A,Ecole
W121002615,OGEC ECOLE SAINTE FAMILLE,assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente,4,RUE,des jardins,12400,Vabres-l'Abbaye,,A,Ecole
W121002626,CAUSSE ET SAVANE,regrouper des personnes morales ou physiques souhaitant tisser des liens d'amitié et d'entraide avec les pays africains et plus particulièrement avec les personnes handicapées ; apporter une attention toute particulière au suivi des activités de l'association des paralysés du mali,,,,12230,Sainte-Eulalie-de-Cernon,,A,Mali
W121002635,DESTINATION CULTURE,"développer des liens d'amitié entre la france et l'allemagne dans divers domaines et notamment en matière culturelle et artistique ; faciliter l'accès de chacun à la culture française et allemande en tenant compte de la diversité des disciplines et des expressions artistiques ; mettre en valeur la langue et la culture française lors des échanges en découvrant l'environnement naturel et le patrimoine français (région midi-pyrénées tout particulièrement) ; travailler en lien étroit avec les institutions régionales, départementales et les municipalités pour développer des échanges avec l'allemagne, de même qu'avec tout organisme désireux de nouer des relations entre la région midi-pyrénées et l'allemagne",70,RUE,du Canal,12400,Saint-Affrique,,A,Midi
W121002644,VILLA FINA,"développer des activités culturelles et physiques non compétitives à partir des locaux qui hébergent l'association, à savoir l'ancien garage fina, avenue sully, ; rassembler des amateurs et des professionnels, et établir des partenariats pour créer des projets, évènements ponctuels, stages, rencontres, etc., et pour soutenir et organiser des activités d'initiation, de formation ou de production sur la commune et le territoire du lévézou, ou plus loin encore si toutefois la villa fina reste le coeur actif du projet ;",,AV,de Sully,12410,Salles-Curan,,A,Loin
W121002698,PETANQUE VIALARAINE,"promouvoir, plus particulièrement sur le territoire de la commune du viala du tarn, la pratique de la pétanque et des jeux de quilles sous toutes leurs formes ; aider les membres à participer à des épreuves sportives ou de compétition",,,,12490,Viala-du-Tarn,,A,Viala
W121002719,COMITE DES FETES DU VIALA DU DOURDOU,organiser la fête et autres manifestations en vue d'animer le village et de resserrer les liens d'amitié entre les habitants,,LD,le Mas Viala,12400,Calmels-et-le-Viala,,A,Viala
W121002727,AMICALE DES PARENTS D'ELEVES DE L'ECOLE MATERNELLE BEAUREGARD,"former, organiser, animer et gérer les activités socioculturelles dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,AV,du général Cosse,12100,Millau,,A,Ecole
W121002730,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE CASTELNAU PEGAYROLS,organiser et gérer les diverses activités annexes et la cantine,,,,12620,Castelnau-Pégayrols,,A,Ecole
W121002731,ASSOCIATION POUR L'INFORMATIQUE DANS L'ECOLE,"favoriser les échanges, sur le plan informatique, entre les différentes écoles privées du sud aveyron",23,RUE,Lamartine,12400,Saint-Affrique,,A,Ecole
W121002750,COMITE DES PARENTS D'ELEVES DU SECONDAIRE DU VIALA DU TARN,"regrouper les parents et tuteurs légaux d'enfants scolarisés en classe secondaire, afin de leur permettre de débattre de leurs problèmes spécifiques et d'entreprendre en commun les démarches administratives et les actions liées à la scolarité",,,,12490,Viala-du-Tarn,,A,Viala
W121002779,ASSOCIATION LOCALE DES MEDECINS DE SAINT AFFRIQUE POUR LES GARDES ET LES URGENCES,"réunir les médecins généralistes qui doivent prendre les gardes pour répondre aux urgences du samedi après-midi, du dimanche jusqu'au lundi matin 8h, et également les jours fériés",,,,12400,Saint-Affrique,,A,Midi
W121002824,UNE ECOLE DE LA MUSIQUE A CAMARES,dispenser des cours de musique (piano et solfège) aux camarésiens intéressés (enfants ou adultes),,,,12360,Camarès,,A,Ecole
W121002836,ASSOCIATION SPORTIVE USEP DE L'ECOLE BEAUREGARD DE MILLAU,"développer l'éducation globale des enfants par la pratique des activités physiques, sportives et de pleine nature",,,,12100,Millau,,A,Ecole
W121002839,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE CURAN,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'u.s.e.p.",,,,12410,Curan,,A,Ecole
W121002840,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE COUPIAC,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physique, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'u.s.e.p.",,,,12550,Coupiac,,A,Ecole
W121002841,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE LA CAPELLE BONANC E,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités sportives, physiques et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'u.s.e.p.",,,,12130,La    Capelle-Bonance,,A,Ecole
W121002842,ASSOCIATION SPORTIVE USEP DE L'ECOLE DU CRES DE MILLAU,"développer l'éducation globale des enfants par la pratique des activités physiques, sportives et de pleine nature",,,,12100,Millau,,A,Ecole
W121002843,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE SAINT SERNIN SUR RANCE,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, manifestations organisées par l'u.s.e.p.",,,,12380,Saint-Sernin-sur-Rance,,A,Ecole
W121002844,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE ST SEVER DU MOUSTIER,"former les jeunes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12370,Saint-Sever-du-Moustier,,A,Ecole
W121002845,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE VEZINS DU LEVEZOU,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12780,Vézins-de-Lévézou,,A,Ecole
W121002846,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE MURASSON,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12370,Murasson,,A,Ecole
W121002847,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE PLAISANCE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, dans le cadre d'un fonctionnement démocratique ; elle contribue à l'éducation globale des enfants",,,,12550,Plaisance,,A,Ecole
W121002850,ASSOCIATION SPORTIVE U.S.E.P. ECOLE MIXTE EUGENE SELLES A MILLAU,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation des enfants",29,AV,Jean Jaurès,12100,Millau,,A,Ecole
W121002851,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE L'HOPITAL DU LARZAC,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique",,,,12100,Millau,,A,Ecole
W121002852,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE NANT,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12230,Nant,,A,Ecole
W121002853,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE TOURNEMIRE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",,,,12250,Tournemire,,A,Ecole
W121002854,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DU VIALA DU PAS DE JAUX,"pratique d'activités physiques, sportives et socioculturelles visant à l'éducation globale des enfants",,,,12250,Viala-du-Pas-de-Jaux,,A,Viala
W121002855,ASSOCIATION CULTURELLE ET SPORTIVE USEP DE L'ECOLE PUBLIQUE DU VIALA DU TARN,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",,,,12490,Viala-du-Tarn,,A,Viala
W121002856,ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE ROQUEFORT SUR SOULZON,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",,,,12250,Roquefort-sur-Soulzon,,A,Ecole
W121002859,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE CENOMES,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",,,,12360,Montagnol,,A,Ecole
W121002863,ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE SAINT MARTIN DES FAUX,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",,,,12410,Salles-Curan,,A,Ecole
W121002872,LES AMIS DE L'ECOLE DE SAINT LAURENT DE LEVEZOU,récolter des fonds en vue d'aider au fonctionnement et à l'équipement de l'école de st. laurent de lévézou,,,,12620,Saint-Laurent-de-Lévézou,,A,Ecole
W121002876,ASSOCIATION USEP ECOLE MATERNELLE VICTOR HUGO,"favoriser la pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",2,RUE,de la Saunerie,12100,Millau,,A,Ecole
W121002878,ASSOCIATION USEP ECOLE PUBLIQUE DE VERSOLS ET LAPEYRE,"favoriser la pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",,,,12400,Versols-et-Lapeyre,,A,Ecole
W121002905,ASSOCIATION DE PARENTS D'ELEVES - ECOLE PUBLIQUE DE MONTCLAR,rechercher une personne qualifiée aux besoins de la cantine scolaire et d'une personne qualifiée au nettoyage des classes scolaires ; répartir équitablement à ses besoins les sommes allouées par la municipalité de montclar ; effectuer un compte-rendu régulier aux parents d'élèves ; accepter les enfants dont les parents désirent qu'ils aillent à la cantine,,,,12550,Montclar,,A,Ecole
W121002939,LES AMIS DU PAS DE CEILHES,"recevoir les naturistes, les documenter et leur permettre de pratiquer la gymnité intégrale en leur assurant une animation socio-éducative sur un terrain ouvert au camping-caravanage exclusivement réservé à ses membres et géré par l'association ; proposer la découverte de l'aveyron, de tous les aspects que la nature propose, également sur le plan touristique, culturel, économique ; défendre collectivement les intérêts communs de ses membres ; pouvoir ester en justice par voie d'action ou d'intervention",,,,12540,Fondamente,,A,Ouvert
W121002970,BAÏLA MORENA,expression corporelle,95 a,RUE,de la croix vieille,12100,Millau,,A,Baïla
W121003005,"ASSOCIATION CULTURELLE ET SPORTIVE USEP DES ECOLES DE VERRIERES SAINT BEAUZELY, CASTELNAU PEGAYROLS, MONTJAUX ET VIALA DU TARN 'AMUZE 5'","former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'u.s.e.p.",,,,12490,Viala-du-Tarn,,A,Viala
W121003007,SECTION THEATRE DE L'INSTITUT D'ETUDES OCCITANES,"maintenir et prolonger une structure de rencontres interrégionales de théâtre occitan dans le cadre initial tel que défini en 1989 avec l'assa saint-affrique ; assurer le lien interrégional au niveau des échanges, de la création, de la diffusion, en collaboration avec toutes les structures ayant des objectifs communs ; à cet effet, collaborer avec tout groupement quel qu'il soit (sociétés savantes, artistiques, littéraires ou autres) dans la mesure où cette collaboration sert les buts de l'ieo, et avec l'université",12,BD,Victor Hugo,12400,Saint-Affrique,,A,Assa
W121003010,HIPPO-GITE,"créer un gite d'étape ouvert à tous les randonneurs non motorisés ; travailler en liaison avec les associations équestres de la région et s'inscrire dans une volonté de développement du tourisme local ; participer à l'ouverture de nouveaux chemins, et favoriser les actions en faveur du tourisme équestre ; organiser des randonnées",,,,12400,Montlaur,,A,Ouvert
W121003011,JOKER,"favoriser la communication entre porteurs de projets touristiques, et organiser un forum professionnel ouvert au public",10,BD,Sadi Carnot,12100,Millau,,A,Ouvert
W121003026,"LE CHOIX DES METS ""NO MAD DANS L'ÂME""","permettre l'approche d'un mode de vie sain et diversifié basé sur l'échange et le développement du commerce local, biologique, raisonné et équitable",29,RUE,basse,12100,Creissels,,A,Basé
W121003042,ECOLE DE YOGA DE SAINT-AFFRIQUE,"pratique du yoga ; recherche, étude, information, développement de toutes pratiques corporelles, psycho-corporelles et culturelles",12,RUE,de la république,12400,Saint-Affrique,,A,Ecole
W121003092,TOUS AVEC ET POUR LOGAN,"mettre à la disposition de logan dollé, né le 26 mai 2009, enfant atteint du syndrome d'usher de type 1, un lieu propice à l'éveil, des instruments, du matériel pour lui permettre de communiquer, c'est-à-dire du matériel d'adaptation sur le plan visuel pour son confort",12,RUE,Lucien Costes,12100,Millau,,A,Dollé
W121003100,ASSOCIATION DE SOUTIEN À L'INITIATIVE CULTURELLE (ASIC),"location et animation d'un local culturel ouvert au public, à millau, et comprenant entre-autres une bibliothèque de prêt ; impulsion et soutien à diverses initiatives et manifestations culturelles et sociales",14,AV,Alfred Merle,12100,Millau,,A,Ouvert
W121003128,MAIN TENANT,recherche et développement des réalités énergétiques naturelles,,,,12360,Tauriac-de-Camarès,,A,Main
W121003143,FEDERATION DEPARTEMENTALE DE DEFENSE ET DE PROMOTION DE L'ECOLE RURALE DE L'AVEYRON ( F.D.D.P.E.R 12 ),"défendre l'existence l'existence de l'école rurale, démontrer la valeur de la pédagogie qu'on y pratique, lui donner les moyens indispensables à la poursuite de son renouvellement",,,,12430,Alrance,,A,Ecole
W121003174,BIBLIOTHEQUE ECOLE MALHOURTET,gérer et animer la bibliothèque - centre de documentation de l'école malhourtet,,RUE,Paul Ramadier,12100,Millau,,A,Ecole
W121003176,ATOUT DOC,"favoriser l'accès des enseignants et des partenaires de l'école à la documentation pédagogique, et développer la circulation d'ouvrages parmi les écoles de la circonscription de saint-affrique",,RUE,Emile Cartaillac,12400,Saint-Affrique,,A,Atout
W121003184,MILLAU AIRSOFT,"réunir des joueurs d'airsoft et leur proposer de pratiquer cette activité (et toute activité connexe) dans un cadre légal et sécurisé ; promouvoir cette activité dans la région millavoise ; organiser des rencontres inter-associations ; permettre l'achat groupé de matériel (répliques, billes, gaz et tout matériel ayant rapport avec les activités de l'association) pour revente aux adhérents",37,RUE,du Barry,12100,Millau,,A,Légal
W121003190,LA BEAUTE DU GESTE,"défendre et développer l'oeuvre faite de main d'homme ou de femme, génératrice de fierté et de dignité",,HAME1,de la bouteille,12100,La    Roque-Sainte-Marguerite,,A,Main
W121003203,ASSOCIATION DES AMIS DE LA FANFARE 12°5 'VIALA QU'CA R'COMMENCE',"gérer, organiser et impulser dans une zone rurale de l'aveyron une dynamique musicale dans la tradition des fanfares, beaux-arts (rencontres, formations, concerts populaires et folkloriques, détente et loisirs)",,,,12250,Viala-du-Pas-de-Jaux,,A,Viala
W121003208,ROCK ASSO,développer la culture rock et tous ses moyens d'expression dans la région midi-pyrénées,10,RUE,de Strasbourg,12100,Millau,,A,Midi
W121003211,ECOLE PACIFIQUE DU NON ABANDON,"susciter, aider, rechercher et promouvoir l'autonomie de fonctionnement d'entreprises individuelles et collectives à caractère économique, social et culturel à vocation pacifique",,,,12400,Montlaur,,A,Ecole
W121003222,REOUVRONS L'ECOLE,réouverture et maintien de l'école primaire et maternelle à sylvanès,,,Carriere Escure,12360,Sylvanès,,A,Ecole
W121003283,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE COUPIAC,gérer le fonctionnement de la vie parascolaire,,,,12550,Coupiac,,A,Ecole
W121003289,AMICALE DES PARENTS D'ELEVES ET ENSEIGNANTS DE L'ECOLE MATERNELLE JEAN MACE,"apporter un soutien à l'équipe pédagogique, et contribuer au développement des activités scolaires et extra-scolaires",2,RUE,de la Saunerie,12100,Millau,,A,Ecole
W121003301,AMICALE DES DONNEURS DE SANG BÉNÉVOLES DU SAINT-AFFRICAIN,"établir et resserrer les liens d'amitié ;renforcer l'esprit de bénévolat et de volontariat entre les donneurs de sang bénévoles de la communauté de communes du saint-affricain et du canton de saint-affrique ; participer à la publicité, au recrutement de nouveaux donneurs ; participer à l'organisation des collectes de sang, à l'accueil des donneurs en liaison avec l'etablissement français du sang (efs) du département de l'aveyron, l'union départementale 12 (ud 12) et la fédération française pour le don de sang bénévole à paris",7,RUE,Frangi et Ortéga,12400,Saint-Affrique,,A,Sang
W121003308,ASSOCIATION DE DEVELOPPEMENT DE L'APICULTURE EN MIDI PYRENEES,concourir par tous les moyens au maintien et au développement de l'apiculture en midi-pyrénées,,,,12370,Murasson,,A,Midi
W121003319,PASPARTOUT,"faciliter l'accès aux particuliers, associations, paysans, artisans, à l'embauche de main-d'oeuvre temporaire pour pallier un besoin existant non satisfait en milieu rural",,,,12230,L'   Hospitalet-du-Larzac,,A,Main
W121003338,MADAM' MERCADIER ASSO,"faire découvrir, à partir d'un groupe de musiciens et au travers d'animations publiques ou privées, la musique traditionnelle de louisiane, dite ""cajun"", en priorité, et refaire vivre toute autre musique traditionnelle collectée et réadaptée par les soins du groupe à travers, essentiellement ou pour une grande part, des instruments de musique acoustique",2,RUE,Louis Blanc,12100,Millau,,A,Asso
W121003371,LA SAFRANIEIRA,réintroduire et promouvoir la culture du safran en midi-pyrénées,,,,12550,Martrin,,A,Midi
