id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,mot_cle
W121000219,TARN KRAV MAGA SUD AVEYRON,favoriser la pratique du krav maga,,,Le Bourg,81530,Senaux,,A,Maga
W121000240,SOCIETE CIVILE DE CHASSE DE LA COMMUNE DU VIALA-DE-PAS-DE-JAUX,"regrouper les propriétaires et habitants de la commune en vue du développement du gibier, pour la protection, le repeuplement, l'élevage, la destruction des animaux nuisibles, la répression du braconnage et l'exploitation rationnelle de la chasse sur les territoires où l'association possèdera le droit de chasse, soit par les apports des propriétaires, soit par cession ou location.",,,,12250,Viala-du-Pas-de-Jaux,,A,Viala
W121000249,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE D'ALRANCE,"veiller à une qualité de vie à l'école, et participer aux activités parascolaires et périscolaires",,,,12430,Alrance,,A,Ecole
W121000262,ASSOCIATION SPORTIVE SCOLAIRE DE L'U.S.E.P. (UNION SPORTIVE DE L'ENSEIGNEMENT DU PREMIER DEGRE) DE L'ECOLE BEAUREGARD MATERNELLE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités sportives, physiques et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique. contribuer à l'éducation globale des enfants.",,RUE,du Général Cosse,12100,Millau,,A,Ecole
W121000277,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SEVERAC LE CHATEAU,"réunir les parents d'élèves, les enseignants et le personnel de l'école à travers diverses manifestations. récolter les fonds afin de financer des activités scolaires, para-scolaires et péri-scolaires. participer à la vie de l'école par le biais de différentes animations.",,PL,du Monument,12150,Sévérac-le-Château,,A,Ecole
W121000278,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE D'AGUESSAC,"resserrer le liens d'amitié entre l'école et les parents d'élèves, favoriser l'organisation d'activités scolaires et de projets éducatifs, permettre l'amélioration des moyens matériels d'enseignement et accroître leur efficacité, ainsi que les services liés à l'école.",2,CHEM1,de la Treille,12520,Aguessac,,A,Ecole
W121000281,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE,"organiser et gérer les activités scolaires, extra-scolaires, notamment la garderie, la cantine, et aider au développement de la coopérative scolaire.",,,,12640,Rivière-sur-Tarn,,A,Ecole
W121000285,U.S.E.P. ECOLE PUBLIQUE LA CRESSE,"former à la responsabilité, au civisme, à l'autonomie par la pratique d""activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique.",,,,12640,La Cresse,,A,Ecole
W121000300,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE JEAN DE LA FONTAINE DE VABRES L'ABBAYE,aider l'équipe d'enseignants à réaliser leurs projets pédagogiques d'un point de vue technique ou financier. organiser des activités extra-scolaires afin de dynamiser la vie scolaire. collecter des fonds qui serviront à impulser des activités culturelles et sportives au sein de l'école. agir pour impliquer davantage les parents d'élèves à la vie de l'école.,,,,12400,Vabres-l'Abbaye,,A,Ecole
W121000304,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT SERNIN SUR RANCE,participer à la vie scolaire.,,,Avenue de Saint-Affrique,12380,Saint-Sernin-sur-Rance,,A,Ecole
W121000308,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT ROME DE CERNON,gérance des activités de l'école en dehors du travail scolaire,,,,12490,Saint-Rome-de-Cernon,,A,Ecole
W121000331,ASSOCIATION SPORTIVE SOCIO-CULTURELLE USEP D'ELEVES ET DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LESTRADE,"pratique d'activites physiques, sportives et de pleine nature, d'activites socio-culturelles",,,,12430,Lestrade-et-Thouels,,A,Ecole
W121000335,ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE DU SACRE-COEUR  - JEANNE D'ARC (APEL DU SACRE COEUR - JEANNE D'ARC),"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience, promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses reponsables et les organismes concernés, mettre en oeuvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, l'associ",7,RUE,Jean Moulin,12100,Millau,,A,Ecole
W121000337,ASSOCIATION SPORTIVE U.S.E.P. ECOLE PUBLIQUE DE SAINT GEORGES DE LUZENCON,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives, de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique. elle contribue à l'éducation globale des enfants.",,,,12100,Saint-Georges-de-Luzençon,,A,Ecole
