titre,objet,mot_cle
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BOUSSAC,Recueillir des fonds par le biais d'actions diverses pour financer les activités de l'école publique de Boussac,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE PALMAS,"Faciliter les oeuvres péri et post scolaire, l'achat de matériel",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BROMMAT,organisation de rencontres sportives,ecole
ASSOCIATION D'ONCOLOGIE MEDICALE HOSPITALIERE,"formation médicale post-universitaire des médecins temps plein, formation spécialisée du personnel paramédical, développement de la bibliothèque inter-services, amélioration par l?achat de petit matériel des conditions de travail du personnel soignant ou des conditions d'hébergement des malades, développement des relations médicales entre les autres hôpitaux généraux de la région et les médecins de la ville ; participation à toutes manifestations publiques concernant l?information et la prévention des maladies d?intérêt général",post
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE SAINT CYPRIEN SUR DOURDOU,"pratique d'activités physiques, sportives et socio culturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE PUBLIQUE DE CASTELNAU DE MANDAILLES,"Organiser et favoriser toutes actions éducatives, culturelles, sociales ou sportives des élèves, faciliter les relations entre les parents, les enseignants, et les autorités, organiser des animations pour financer les activités scolaires.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE ST JOSEPH (APEL),"grouper les chefs de famille ayant la garde des enfants inscrits à l'école, soutien de l'école et des maîtres",ecole
OGEC ECOLE PRIVEE SAINT-JOSEPH,éducation populaire,ecole
PROMOTION EGC 19,"promouvoir l'Ecole de gestion et de commerce de Rodez et notamment faire connaître la promotion 19 auprès des entreprises et du grand public par des activités culturelles, sportives, médiatiques ou plus étroitement liées au programme pédagogique",ecole
ASSOCIATION MUSICALE DIAPASON,"Ecole de musique : solfège et instruments, former à la connaissance théorique et pratique toutes les personnes , enfants ou adultes, intéressées par la musique, former ainsi une petite équipe capable de pratiquer à court terme plusieurs intruments, de façon à pouvoir se produire en privé ou en public à des fins non lucratives",ecole
CURRICULUM,"création, gestion et administration d'un cours privé d'enseignement à distance en plusieurs langues, ouvert à tous et toutes activités contribuant à la réalisation de ce projet",ouvert
ASSOCIATION ECOLE DE DANSE DU VALLON,promouvoir tout type de danse dans le vallon,ecole
ASSOCIATION DES PARENTS D'ELEVES DE QUINS ET SALAN,Gestion et contrôle des cantines scolaires.,salan
ASSOCIATION DES PARENTS D'ELEVES DE L' ECOLE DE BEZONNES,Animation de l'école.,ecole
LES VAYSSES,Chasse en equipe avec les voisins tous proprietaires du terrain entrant dans l'association en vue d'une meilleure limitation de destruction du gibier existant et la protection du renouvellement de ce meme gibier....,meme
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE PUBLIQUE DE LASSOUTS,"Administration, gestion, activités et animation.",ecole
ASSOCIATION DE L'ECOLE JEAN MONNET A ESPALION,Regrouper les parents et enseignants de l'école pour gérer ensemble les intérêts moraux et financiers des élèves. Elle a aussi pour but  d'intégrer les activités USEP de l'école,ecole
AMICALE DE L'ECOLE,Créer une convivialité plus large. Promouvoir l'image de l'école publique en l'aidant à mener à bien des activités éducatives.,ecole
ECOLE DE SAMBA TAMOS JUNTOS,"faire connaître la culture lusophone par la pratique musicale, des sorties, des participations à l'organisation de manifestations",samba
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE PRIVEE DE FILLES STE-JEANNE-D ARC,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école, toutes activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres, entente avec toutes associations semblables",ecole
LIENS MATERNELS,"proposer des biens et services liés au bien-être des femmes et de leur famille pendant la grossesse, la naissance et la période post-natale, soutenir l'allaitement maternel et le portage, participer financièrement aux formations de ses bénévoles",post
ASSOCIATION SPORTIVE DU COLLEGE JEAN BOUDOU,encourager la pratique des sports par les élèvres fréquentant l'établissement,boudou
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE PRIMAIRE DE MUR DE BARREZ,établir un lien entre les familles et l'école afin de permettre à celle-ci de remplir pleinement sa mission éducative et sociale ; de participer à l'organisation et à l'animation d'activités périscolaires destinées à soutenir l'action éducative des enseignants ; promouvoir l'éveil des enfants,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE SAINT JOSEPH,"représenter les familles et assurer leur information, apporter son soutien à l'établissement et contribuer à son animation, participer à la vie de la communauté éducative, promouvoir le caractère propre de l'établissement",ecole
LES AMIS DE L ECOLE LAIQUE DE CLAIRVAUX,"établir un lien entre les familles et l'école, prolonger l'oeuvre scolaire en promouvant l'éducation populaire",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE ST-VIATEUR DE CANAGUET,Grouper les chefs de famille ayant la charge des enfants inscrits à l'école,ecole
UNITE DE VIE LE GONDOLOU,réaliser et gérer une ou plusieurs unités d'accueil et de vie à caractère familial pour les personnes âgées valides ou semi-valides,semi
AVEYRON CONSERVATOIRE REGIONAL DU CHATAIGNIER,Mise en place et developpement d'un verger conservatoire de varetes locales de chataigniers et ulterieurement d'especes fruitieres d'altitude et semi-altitude......,semi
ASSOCIATION SPORTIVE U.S.E.P. ECOLE PRIMAIRE FLAUGERGUES,"Pratique d'activités physiques, sportives et socioculturelles visant à l'éducation globale des enfants",ecole
FUDOKAN KARATE CLUB,"Regrouper toutes les personnes physiques et morales afin de développer et guider la pratique du karate shotokan dans sa tradition, son esprit martial, sa valeur humaine et culturelle et organiser les manifestations sportives de son activité.",guider
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE SAINTE-BERNADETTE,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école et exercer toutes activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres",ecole
FORCE ADOS,Développer et promouvoir l'animation des jeunes sur Agen d'Aveyron,agen
ASSO.MUSIQUE D'ARTISAN,"Vocation culturelle et soutien d'artistes sous la forme de secrétariat, de production et création d'évênements.",asso
CANI SPORT DU SEGALA,"Aider les maîtres, qui éprouvent des difficultés, à éduquer leur chien. Guider les cynophiles qui veulent faire de la compétition.",guider
C.H.A.R.IV.A.R.I (COMEDIEN EN HERBE D'AUJOURD'HUI REVANT D'IDEES DE VOYAGE PAR LA RECHERCHE D'INTERPRETATION),"Promouvoir la création et l'auto-réalisation des projets artistiques d'enfants et d'adolescents. Permettre à ceux-ci de découvrir les diverses formes d'arts (poësies, chansons, musiques, danses, théâtres) en collaboration avec les institutions, associations et organismes d'enseignements, de culture et de loisirs. Ainsi que pour créer et concevoir des projets (spectacles, gala...) ouvrant la jeunesse à l'expression orale, écrite et corporelle.",gala
OGEC DE L'ECOLE ST JOSEPH,"assurer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente, réaliser toute activité se rapportant à l'éducation et à l'enseignement, la formation, la culture, réaliser toute activités parascolaires telles que accueil, l'hébergement, la restauration, mise à disposition des locaux",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE CARDAILLAC,"Pratique d'activités physiques, sportives et socioculturelles visant à l'éducation globale des enfants",ecole
CENTRE SOCIAL DU LAISSAGAIS,"aménager dans son périmètre un centre d'aspect plaisant, offert et ouvert à tous, étudier en commun les questions d'ordre technique, économique et social, intéressant la vie rurale sous tous ses  aspects, coordonner, promouvoir, soutenir et favoriser le développement ou la création des institutions et activités à caractère social, médico-social, éducatif, sportif, et culturel de la région, organiser les loisirs de la collectivité dans son ensemble  par la création et l'usage de bibliothèques",ouvert
FOOTBALL CLUB AGEN D'AVEYRON,Promouvoir la pratique et le développement du football,agen
OGEC ECOLE SAINTE MARIE,assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente,ecole
LE CONVOI DU SUD,"toutes actions humanitaires visant à améliorer les conditions de vie des peuples d'Afrique, et en particulier la Mauritanie, le Mali, le Sénégal",mali
LE CHEMIN DES ECOLIERS DE L'AUBRAC,assurer un accompagnement éducatif post périscolaire pour tous les élèves des écoles de l'Aubrac; tisser et développer des liens intergénérationnels et interculturels entre les élèves et les habitants de l'Aubrac; réunir toutes les personnes physiques ou morales intéressées par les activités mise en place par L.C.E.A et désireuses d'encourager son action en lui accordant un soutien financier,post
"MALI, GRAIN D'ESPOIR...","Découvrir, expliquer, valoriser et partager la culture, les traditions et le mode de vie des Maliens.",mali
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE THERONDELS,"toutes activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L' ECOLE PRIMAIRE PUBLIQUE DE PONT-DE-SALARS,association de parents d'élèves,ecole
FOYER SOCIO EDUCATIF DU COLLEGE JEAN BOUDOU,"promouvoir le sens des responsabilités et l'apprentissage de la citoyenneté des collégiens, développer la vie sociale par l'animation de clubs, par l'animation ou la participation à des activités péri-éducatives par l'organisation de manifestations culturelles festives (quines, tombola, spectacle), participer et organiser des activités de loisirs (sorties, cinéma, bowling), participer aux actions d'entraide et de solidarité, faciliter la vie collégienne en procédant selon les besoins à des groupements de commandes au nom des élèves concernés en négociant en leur nom un prix intéressant auprès des commerçants vendant ces produits (vêtement de travail, outillages, livres, cahiers d'activités, fournitures scolaires spécifiques)",boudou
ORGANISME DE GESTION DE L'ECOLE CATHOLIQUE DE LA SELVE,"assurer la fondation, l'entretien et la gestion de l'école et de tout ce qui se rapporte à l'éducation et à l'enseignement",ecole
ASSOCIATION SPORTIVE TAE KWON DO KORYO,"Enseigner le tae kwon do, art martial coreen, dont le but est d'apporter au pratiquant une meilleure maitrise de lui-meme.....",meme
DJENE MARENA,aide sociale et culturelle au village de Djéné-Marena,djéné
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LA SALVETAT PEYRALES,"organisation de manifestations dont les bénéfices permettent de participer au financement d'activités extrascolaires, scolaires, achat de matériel, pour l'école publique",ecole
ASSOCIATION DES PARENTS ET AMIS DE L'ECOLE PAUL CAYLA,activités peri-scolaires de l'Ecole Paul Cayla,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DE CRUEJOULS,aider au développement de l'école de Cruéjouls,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE SAINT JEAN LA PRIMAUBE,grouper les chefs de famille ayant la charge des enfants inscrits à l'école,ecole
LA MAIN D'OEUVRE,assurer l'édition de livres et la réalisation de documentaires audiovisuels,main
OGEC ECOLE SAINT JOSEPH,assumer juridiquement la gestion de l'établissement maternelle et primaire de l'enseignement fondé par l'autorité compétente,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L 'ECOLE PRIVEE DE VILLECOMTAL,grouper les chefs de famille ayant la garde des enfants inscrits à l'école,ecole
ASSOCIATION DES PARENTS D'ELEVES ECOLE DU CAUSSE,gérer les activités pré-scolaires,ecole
SANG NEUF,Organisation de manifestations culturelles de musiques actuelles en aveyron,sang
ASSOCIATION DE PARENTS D'ÉLÈVES DE L'ENSEIGNEMENT LIBRE DE L'ÉCOLE SAINT PAUL DE RODEZ,"favoriser et garantir le libre choix de l'école, conformément au droit natureldes parnts à l'éducation et à l'instruction de leurs enfants, selon leur conscience, promouvoir le caractère propre de l'enseignment catholique, exprimé dans le projet éducatif de l'établissement, encollaboration avec ses responsables et les organismes concernés, mettre en oeuvre et faire connaître le projet du mouvement des APEL et renforcer le sentiment d'appartenance à un mouvement national",saint paul
ASSOCIATION DE ST-AMANS-DES-COTS POUR LE DEVELOPEMENT DE LA LECTURE,oeuvrer au développement de la lecture par l'intermédiaire du centre de documentation et d'information du collège de la Viadène ouvert au public,ouvert
MOTO CLUB AGEN D'AVEYRON,entretien d'un terrain de moto-cross appartenant à la commune d'Agen-d'Aveyron,agen
ORGANISME DE GESTION DE L'ETABLISSEMENT CATHOLIQUE D'ENSEIGNEMENT ECOLE PRIVEE SAINT JOSEPH,gestion de l'école privée mixte,ecole
LEVEZOU EN BIO,"promouvoir l'agriculture biologique en Aveyron, l'habitat sain, naturel et écologique proposer des alternatives réalisables pour les économies d'énergie, comprendre et écouter dame nature pour mieux la servir",sain
COMITE AVEYRON DE CYCLISME FFC,"encourager, développer, organiser dans le cadre de son territoire, le cyclisme sous toutes ses formes tourismes, (transport, éducation physique, préparation scolaire, universitaire, post-scolaire, militaire) en intégrant à ses actions les fonctions sociales et éducatives de la pratique afin que le cyclisme soit un support de citoyenneté. Défendre les intérêts des cyclistes, établir entre eux des relations amicales",post
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE SITUEE Â CASSAGNES-BEGONHES,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école, proposer des activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maitres",ecole
ASSOCIATION USEP DE L'ECOLE PUBLIQUE D'HUPARLAC,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique, contribuer à l'éducation des enfants",ecole
ASSOCIATION MYCOLOGIQUE ET BOTANIQUE DE L'AVEYRON - AMBA,connaissance et protection des champignons et des plantes,amba
REV'IADE ASSOCIATION AVEYRONNAISE DES INFIRMIERS ANESTHESISTES ET DE SALLE DE SURVEILLANCE POST-INTERVENTIONNELLE,"regrouper les recherches et études appliquées aux problèmes de l'anesthésie, réanimation et réveil. Participer à la formation continue, développer les relations interprofessionnelles, promouvoir la fonction d'IADE",post
ECOLE DE QUILLES CEOR GIFFOU,"pratique de l'éducation physique et des sports, entre autres les quilles de huit, regroupement  de clubs désirant développer cette pratique chez les jeunes",ecole
BARRE AU CAP,"regrouper des hommes et des femmes souhaitant pratiquer la voile et la régate, développer ensemble cette pratique sportive, former des personnes à la voile tout au long de l'année, participer à des opérations concernant la voile, mener des actions sportives et financières nécessaires à son bon fonctionnement",long
A.P.E. DE L'ECOLE DE LAX,organiser des manifestations en vue de financer des projets de l'école,ecole
COMITE DEPARTEMENTAL D'EQUITATION DE L'AVEYRON,"promouvoir et développer les activités et les disciplines équestres du saut d'obstacles, concours complet, dressage, attelage, endurance, reining, voltige, horse ball, amazone, équifun, équitation camargue, portugaise, islandaise, américanine, polo, pony games, mounted games, trec et équitation de travail ainsi que toutes les disciplines équestres qui pourraient naître et être reconnues par la FFE ; représenter tous les licenciés pratiquant l'équitation et les groupements équestres adhérents du département ; les CDE sont calqués sur les découpages administratifs départementaux ; participer pour tout ce qui concerne le cheval et l'équitation aux actions des pouvoirs publics et de tout organisme constitué en vue du développement de la filière équine",polo
PROMOTION ANGERS 201 PROM' S AN 201,favoriser l'épanouissement culturel de ses membres. encourager les relations entre les promotions passées et futures de l'ecole nationale supérieure d'arts et métiers (e.n.s.a.m),ecole
GROUPE ANIMATION ECOLE QUARTIER,"mettre à la disposition de tous ses membres, des moyens d'activités éducatives, sociales et récréatives",ecole
ASSOCIATION USEP ECOLE FRANCOIS MITTERRAND,favoriser la pratique d'activités physiques sportives et socioculturelles visant à l'éducation globale des enfants,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L ECOLE PRIVEE DE GREZES CNE DE SEVERAC L EGLISE,grouper les chefs de famille ayant la charge des enfants inscrits à l'école,ecole
PROMOTION EGC 21,"promouvoir l'Ecole de gestion et de commerce de Rodez et notamment faire connaître la promotion, dont le numéro est indiqué dans le titre, auprès des entreprises et du grand public par des activités culturelles, sportives, médiatiques ou plus étroitement liées au programme pédagogique",ecole
ASSOCIATION RUTHENOISE POUR LE DON DE SANG BENEVOLE,"réunir tous les donneurs de sang en vue de faire respecter le Code d'Honneur du Donneur de Sang, soutenir les intérêts des adhérents auprès des pouvoirs publics, fournir une aide technique et morale aux membres, créer un centre de relations amicales, examiner tous les litiges qui pourraient survenir, chercher à augmenter le nombre des donneurs de sang en liaison avec l'Etablissement de Transfusion Sanguine de son ressort",sang
USEP DE L'ECOLE PUBLIQUE DE PONT DE SALARS,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L' ENSEIGNEMENT LIBRE DE L'ECOLE SAINTE MARIE DES PRES A SAINT CHRISTOPHE-VALLON,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école, s'occuper de toutes activités susceptibles d'apporter un soutien matériel et moral à l'école , aux familles et aux maîtres, entente avec toutes associations semblables",ecole
ADAGE MIDI-PYRENEES,promouvoir la danse néo-classique en Aveyron et Midi-Pyrénées,midi
OGEC DE L'ECOLE PRIMAIRE ET MATERNELLE SAINTE MARIE DE PONT DE SALARS,"assumer la gestion de l'établissement, passer des conventions avec l'état, les collectivités locales",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE 'LA PRADELIE' D'AGEN D'AVEYRON (A P E LA PRADELIE),"regrouper les chefs de famille ayant la charge d'enfants inscrits à l'école ; veiller à la défense des intérêts matériels et moraux de leurs enfants, en particulier et de l'enseignement public et laïque en général. représenter les parents d'élèves auprès des pouvoirs publics et d'agir légalement, en leur nom, sur le plan local. organiser toutes activités susceptibles d'apporter un soutien moral et matériel à l'école aux familles et aux maîtres.",agen
USEP ECOLE DE LIOUJAS,"contribuer à la formation du jeune citoyen par le développement de la responsabilité, du  civisme, de l'autonomie au travers de la pratique d'activités physiques, sportives, d'activités socioculturelles",ecole
ROUERGUE PIGUE,prolonger la campagne du journal Centre Presse : Nos Cousins de la Pampa à l'occasion du centenaire de la fondation de la ville de Piguë (Argentine) par des Aveyronnais et favoriser les échanges de toutes natures entre l'Aveyron et Piguë,pampa
AMICALE DU PERSONNEL DU COLLEGE JEAN BOUDOU,créer une dynamique relationnelle au sein du collège ; donner les moyens de participer aux évènements exceptionnels qui concernent le personnel,boudou
PETANQUE SALMIECHOISE,"developper la pratique du sport petanque dans la commune compte tenu que celle-ci est equipee de structures (terrain eclaire). faciliter la formation d'arbitres et d'educateurs, favoriser la creation d'une ecole de petanque",ecole
MARILOU TAPE DU PIED,pratique de la danse folklorique et traditionelle,tape
CONSEIL DEPARTEMENTAL DES ASSOCIATIONS FAMILIALES LAIQUES DE L AVEYRON,"étudier et défendre les droits et les intérêts moraux et matériels des familles ; intervenir auprès des pouvoirs publics, des organismes semi-publics et des collectivités publiques ; créer et fédérer les associations familiales ayant le même but et déclarant vouloir s'affilier au Conseil national des association familiales laïques",semi
ATOUT DANSE,"promouvoir ou organiser toute activité autour de la danse : stage de danse, spectacle, gala, manifestation chorégraphique, rencontres, concours",atout
3I4L ASSO,permettre aux étudiants du département informatique de l'école 3IL de réunir des fonds pour scolariser des milliers d'enfants au Maroc en participant au raid humanitaire étudiant 4L Trophy ; assurer des relations indispensables avec les sponsors ; réunir des fournitures scolaires pour les enfants du Maroc,asso
ASSOCIATION DU CONSEIL LOCAL DES PARENTS D' ELEVES DE L'ECOLE PUBLIQUE DE TAYRAC,améliorer la situation matérielle et morale des élèves fréquentant l'école laïque et parfaire l'éducation des adultes,ecole
"ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE NATIONALE DE MUSIQUE DE L'AVEYRON, ANTENNE D'ENTRAYGUES",créer une dynamique de la vie musicale sur le secteur en étant à l'écoute des élèves de l'école et en proposant des animations,ecole
SYNDICAT MIDI-PYRENEES DES COMBUSTIBLES,unir professionnellement les négociants en combustibles en leur faisant connaitre leurs obligations légales et être leur mandataire,midi
ASSOCIATION OC'LIVE,"participer à la diversification culturelle de notre territoire, via notamment  la production et la diffusion des musiques actuelles/amplifiées à rodez et dans sa région ; le développement de la création musicale à travers le large éventail de ses pratiques ; la création d'un lieu de vie, point de rencontres et d'échanges entre les acteurs concernés ; l'impulsion d'une dynamique à partir de l'émergence de nouveaux talents ; la fédération de projet associatif dans le domaine des musiques actuelles/amplifiées, en lien avec les acteurs culturels locaux et en favorisant l'accès à tous ; le tout dans le respect des valeurs suivantes : participer à un mouvement solidaire basé sur l'entraide et la coopération ; favoriser la convivialité et l'intégration ; privilégier les rapports humains dans la bienveillance ; encourager et accompagner l'esprit d'initiative, l'innovation et la créativité ; travailler des partenariats avec des acteurs locaux dans la confiance ; participer au développement culturel et économique sur le territoire en favorisant la proximité ; mener des actions au service d'une utopie de transformation sociale dans un objectif d'épanouissement personnel et d'émancipation de l'individu ; favoriser l'engagement citoyen en se démarquant du secteur marchand",basé
VALLON SELF DEFENSE VSD,"réunir des personnes désirant pratiquer un sport de self-défense au travers de stage (krav-maga, judo, lutte au sol russe dite ""SAMBO"", ""Gracie Ju-Jitsu"" appelé aussi Ju-Jitsu brésilien...) mais aussi toutes les personnes désireuses de trouver le bien être physique et ou moral par le biais d'exercices sportifs et ou relaxant avec l'utilisation  de support naturel (boot camp, amazon-training) ; organiser des conférences, des débats, des ateliers sur les principes généraux de la self-défense (la légitime défense, les conduites à tenir face à l'agression), mais aussi sur des sujets complémentaires (nutrition, condition physique, santé) ; créer des évènementiels en vue de rassembler des pratiquants d'arts martiaux de tout horizon, en vue d'échanger et de pratiquer des disciplines différentes pour perfectionner et enrichir leur compétence martiale, notamment le self-défense",maga
OGEC SAINT JOSEPH ET JEANNE D'ARC DE RIGNAC,"fondation et entretien d'écoles catholiques, notamment l'école privée Saint Joseph et le collège privé Jeanne d'Arc à Rignac ; gestion de tout ce qui de près ou de loin, directement ou indirectement se rapporte à l'éducation et à 'enseignement",loin
LES JARDIFOLIES,"organiser une manifestation annuelle sur le jardin en automne, qui réunit commerçants, artisans et bénévoles qui proposent diverses animations tout au long de la journée",long
ART LAIN YE,partager des savoir-faire et diffuser des connaissances ; encourager la création artistique et intellectuelle en incitant à l'ouverture d'esprit ; développer des rencontres inter génération ; sensibiliser et favoriser l'écologie et la biodiversité ; inciter à la protection de l'environnement ; favoriser les échanges locaux,lain
DUPLEX,"faire connaître des musiques peu médiatisées (jazz, bossa nova, samba...) et des créations musicales en organisant des concerts, des cours d'instruments et des enregistrements",samba
ASSOCIATION SPORTIVE ET CULTURELLE DE L'ECOLE PAUL RAMADIER,"former tous les élèves de l'école à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques et sportives, d'activités socioculturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants ; participer aux rencontres et manifestations organisées par l'USEP",ecole
USEP ECOLE DE GAGES,"contribuer à la formation du jeune citoyen par le développement de la responsabilité, du civisme, de l'autonomie au travers de la pratique d'activités physiques, sportives, d'activités socioculturelles ; se situant dans un cadre de fonctionnement démocratique elle contribue à l'éducation globale des enfants ; participation aux rencontres, épreuves et manifestations organisées ou contrôlées par l'USEP",ecole
ELVEA NORD MIDI-PYRENEES LOZERE,"de concentrer l'offre et d'organiser la mise en marché de la production de ses adhérents conformément à l'article 152, paragraphe 1,  c, i de l'OCM, en négociant un accord-cadre pour tout ou partie de leur production auprès des acheteurs désignés en application d'un mandat conformément à l'article L. 631-24 II du CRPM; à cet effet, elle agit comme mandataire pour la commercialisation des produits de ses adhérents en application d'un mandat écrit non cessible de chaque producteur portant sur tout ou partie de leur production ; de désigner les acheteurs auprès desquels les producteurs s'engagent à apporter tout ou partie de leur production conformément à l'article D. 551-22 du CRPM ; d'assurer le contact avec les acheteurs, de leur proposer puis de conclure avec eux des accords-cadres conformes aux exigences de l'article L. 631-24 du CRPM ; à titre accessoire, de proposer aux acheteurs la réalisation de prestations",midi
FAMILLES RURALES DU LAISSAGAIS,"rassembler les familles et les personnes vivant en milieu rural et assurer la défense de leurs intérêts matériels et moraux ; intervenir dans tous les domaines concourant à la promotion des familles et de chacun de leurs membres, amélioration de la qualité de la vie, notamment ceux soumis à l'agrément des pouvoirs publics et semi-publics",semi
ASSOCIATION DES PARENTS D'ELEVES DE L' ECOLE PRIVEE DE STE-GENEVIEVE/ARGENCE,grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien de l'école et des maîtres,ecole
SAUVEGARDE DES PALANGES,"l'association a pour but : défendre l'environnement et protéger les espaces naturels, la patrimoine bâti, la qualité des paysages, des sites et du patrimoine de département de l'Aveyron, du territoire de la Communauté de Communes du Laissagais, du massif forestier des Palanges, des communes de Bertholène, Laissac, Séverac-l'Eglise, Gages-Montrozier, Agen-d'Aveyron, Le Vibal, Arques et La Loubière ; L'association se réfère à la Convention européenne du paysage ; défendre le cadre de vie, l'environnement, la propriété, la tranquillité, la santé et la sécurité des habitants de la Communauté de Communes du Laissagais et des communes de Bertholène, Laissac, Séverac-l'Eglise, Gages-Montrozier, Agen-d'Aveyron, Le Vibal, Arques et La Loubière contre tous actes et décisions intervenant en matière administrative, urbanistique, environnementale et immobilière ; sensibiliser l'opinion publique aux problèmes d'environnement par toutes campagnes d'information et d'action, et de former ses membres à la connaissance du patrimoine, des espèces animales et végétales et de l'environnement du département de l'Aveyron ; défendre l'identité culturelle du paysage et du patrimoine, ainsi que les intérêts naturels, économiques, historiques et sociaux ; lutter, notamment par toutes actions en justice, contre les projets et installations des parc éoliens dans le département de l'Aveyron, et particulièrement dans le périmètre de la Communauté de Communes du Laissagais et les communes voisines du massif des Palanges, projets qui sont incompatibles avec les sites remarquables, monuments, équilibres biologiques, espèces animales et végétales, et avec la santé et la sécurité des habitants ainsi qu'avec la sécurité et la salubrité publique ; l'association se réfère notamment à cet égard à la Convention européenne des paysages ; prémunir la dégradation des ressources naturelles : défendre l'application des lois et réglementations territoriales en vigueur ; favoriser de développement de projets utiles à la vie de l'homme et respectueux des sites naturels et répertoriés ;",agen
SOCIETE DES ANCIENS ELEVES ET AMIS DE L' ECOLE PUBLIQUE-ENTRAYGUES-,"soutenir, défendre l'école laïque et aider à son recrutement et à sa prospérité",ecole
GROUPEMENT TECHNIQUE VETERINAIRE (GTV) DE L'AVEYRON,formation post universitaire des vétérinaires,post
FASEN LA BOTA A SAINT JUST,organiser diverses animations dans le village afin de favoriser les liens d'amitié entre les gens,bota
SYNDICAT DE CHASSE ET DE PECHE DE LA COMMUNE D AGEN D AVEYRON,"protection des récoltes, répression du braconnage, repeuplement en gibier",agen
INDIAN SONG,aider et soutenir de manière durable des écoles du territoire de Pondichérry dans le sud de l'Inde,song
ASSOCIATION SPORTIVE USEP DE L'ECOLE DE LARDEYROLLES CASTANET,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION AVEYRONNAISE DES CENTRES DE VACANCES ET ACTIVITES DE LOISIRS,"contribution à l'éducation des enfants et jeunes, sans aucune discrimination et en favorisant l'ouverture à tous et le brassage social ; essentiellement par des activités de loisirs éducatifs, tout au long de l'année et pendant les vacances scolaires",long
COMITE DES FETES D'AGEN D'AVEYRON,"organisation de fêtes, repas et animations à Agen d'Aveyron",agen
PAYSAGES ET TERRITOIRES,"préparer, tester, développer et accompagner le projet en situation réelle afin d'en vérifier la viabilité économique dans un cadre légal avant la création ou la reprise de l'entreprise ; aboutir à l'appropriation des différents aspects du métier de chef d'entreprise ; améliorer et réussir la qualité des projets de création ou reprise et par la même, le taux de survie de ces nouvelles entreprises et générer de nouveaux emplois ; apporter ce qui directement ou indirectement permet ou facilite  ma réalisation de son objet",légal
L ECOLE EXPERIMENTALE DE LA CHABRAQUE,formation aux métiers du cheval et à ses activités annexes par les filières appropriées au type d'élèves accueillis,ecole
