titre,objet,mot_cle
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE (A.P.E.L.) DE L'ECOLE PRIVEE D'AGUESSAC,Grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien de l'école et des maÎtres.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE TOURNEMIRE,"Grouper les chefs de famille ayant la charge des enfants inscrits à l'école. Soutenir l'école, les familles et les maîtres.",ecole
CLUB INFORMATIQUE DU VIALA DU TARN,La diffusion de l'informatique et des techniques multimédias.,viala
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BRASC,"La gestion de la cantine scolaire, l'organisation de diverses manifestations, organisation de la vie de l'école.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE VERRIERES,Gérer la caisse coopérative de l'école et participer à la vie scolaire et extra-scolaire.,ecole
SOCIETE COMMUNALE DE CHASSE DU VIALA DU TARN,Gouper les propriétaires et les habitants de la commune en vue du développement du gibier.,viala
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT JEAN DU BRUEL,Favoriser toute activité ayant trait à la vie de l'école publique de Saint-Jean du Bruel - Sauclières,ecole
ORGANISME DE GESTION DE L'ETABLISSEMENT CATHOLIQUE (O.G.E.C.) ECOLE PRIVEE DE COMPEYRE,"Assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente dans le respect du droit français et de accords conclus au sein de l'enseignement catholique. L'association pourra se livrer à toute activitése rapportant à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes. Réaliser toutes activités parascolaires (accueil, hébergement, restauration, mise à disposition de locaux), et toute activité liée à son objet.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE VIALA DU TARN,organisation d'activités extra-scolaires et soutien financier et logistique aux activités pédagogiques,viala
OGEC ECOLE DE CRÉPOUNAC,"dans le repect du droit français d'une part, du statut de l'Enseignement catholique en France, des décisions du Comité national de l'Enseignement catholique, des accords conclus en son sein d'autre part, d'assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; assurer la gestion économique, financière et sociale de l'établissement, conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes de l'Enseignement catholique ; contribuer à la mise en oeuvre matérielle du projet éducatif ; employer des peronnels de droit privé ; se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture, à toute activité en lien avec son objet principal",ecole
ASSOCIATION DES PARENTS DES ELEVES DE L'ECOLE PRIVEE MIXTE DE ROQUEFORT SUR SOULZON,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience, promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés, mettre en oeuvre et faire connaître le projet du mouvement des Apel et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, adhérer",ecole
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT-ROME DE TARN,"Soutenir par tous les moyens matériels et moraux dont elle dispos, l'école publique de St Rome de Tarn, dans la mesure de ses ressources, apporter un appui moral et financier à toutes les oeuvres scolaires et post-scolaires d'un caractère purement laïque. Dans le concret, le rôle principal de l'association est l'organisation de l'ensemble des manifestations qui se déroulent tout au long de l'année scolaire.",ecole
