,Unnamed: 0,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude,facebook_url,helloasso_url
1423,1497029,W783004389,TAM-TAM LIMANDI,"promouvoir en France, au Cameroun et dans le reste du monde des actions de développement économique et social au profit de la communauté villageoise de Limandi, dans le souci d'améliorer les conditions de vie des populations, de lutter contre la pauvreté et endiguer le phénomène d'exode rural de la jeunesse ; initier et soutenir l'implantation locale de structures relatives au monde rural sous différentes formes, tel que la mise en place des infrastructures d'assainissement et d'adduction d'eau potable,de santé, d'électricité, de formation ou d'éducation de masse",111,RUE,Saint Sébastien,78300,Poissy,,111 rue saint sebastien 78300 poissy,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.0492204,48.9334458,https://www.facebook.com/TamTamDiscoteca/,https://www.helloasso.com/associations/tam-tam-de-l-ouest
1424,1497114,W783004474,OLOA ESSELE,"cette association a pour objet de promouvoir les échanges culturels, sanitaires et économiques entre les fondateurs, les membres actifs, les bienfaiteurs, les membres d'honneur et les populations rurales du Cameroun",16,AV,du Maréchal Juin,78420,Carrières-sur-Seine,,16 avenue du marechal juin 78420 carrieres-sur-seine,Yvelines,Île-de-France,CLUBS DE LOISIRS/ RELATIONS,AUTRES,2.1774414,48.9119342,https://www.facebook.com/esseleorg/,not found
1425,1497273,W783004633,ALAIN EMANE.FOREVER,"permettre des parrainages pour aider les enfants orphelins ou abandonnés ; l'association est spécialisée dans les actions de co-développement, notamment dans les zones enclavées du Cameroun, de soutien aux projets sanitaires, éducatifs et socio-économiques devant permettre aux bénéficiaires d'assurer une autonomie financière",46,RUE,Paul Déroulède,78290,Croissy-sur-Seine,,46 rue paul deroulede 78290 croissy-sur-seine,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.1366975,48.8720864,https://www.facebook.com/alain.emaneaboghe,https://www.helloasso.com/associations/as-lycee-alain
1426,1498097,W783005457,(ADARA) AIDE POUR UN DEVELOPPEMENT AGRO-PASTORAL RESPONSABLE EN AFRIQUE,"l'association va aider et être un soutien actif du secteur agropastoral en Afrique et en particulier au Cameroun ; elle a ainsi pour but de faciliter toute initiative dans ce secteur en y contribuant ou apportant toute expertise afin d'aider et de permettre la mise en place de toute exploitation ; aider à un accès au financement, en vue du développement de la production, de son transport ainsi que la factorisation de son écoulement",8,RUE,de Seine,78300,Poissy,,8 rue de seine 78300 poissy,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.0428293,48.927439,https://www.facebook.com/adaraONG/,https://www.helloasso.com/associations/aide-au-developpement-agropastoral-en-afrique
1427,1498576,W783005936,AFRIC FEMMES-SOLIDARITE (AFES),"venir en aide aux orphelinats d'Afrique et du Cameroun en particulier à l'aide du développement, à l'éducation et à la santé, à l'encadrement et formation des jeunes filles et filles mères ;",2,ALL,de Provence,78170,La Celle-Saint-Cloud,,2 allee de provence 78170 la celle-saint-cloud,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.154006,48.8514723,https://www.facebook.com/Afric-femmes-Solidarite-1689058951311290/,https://www.helloasso.com/associations/accueil-femmes-solidarite
1428,1498712,W783006072,CERCLE DES ENFANTS FONAKEUKEU DE L'EUROPE (C.E.F.E.),"le C.E.F.E est une association à but non lucratif regroupant en son sein tous les ressortissants Fonakeukeu de la diaspora et plus précisément ceux de l'Europe ; née à Nantes sous le régis de notre maman Tsopgni Jacqueline (Magni) en janvier 2013 dans le but de promouvoir la fraternité, la culture et le développement économique et social entre ses membres vivants en Europe et ceux du Cameroun",1,ALL,de la Grande Promenade,78170,La Celle-Saint-Cloud,,1 allee de la grande promenade 78170 la celle-saint-cloud,Yvelines,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.1111864,48.8463203,https://fr-fr.facebook.com/CercleDesEnfants/,https://www.helloasso.com/associations/cercle-des-solidarites-francophones
1429,1498874,W783006242,BLESSINGS,soutien aux ophelinats et aux jeunes mamans défavorisées en République Démocratique du Congo et au Cameroun et de toute manifestation s'y rattachant,46,RUE,du Clos d'Arcy,78300,Poissy,,46 rue du clos d'arcy 78300 poissy,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.055549,48.9301632,https://www.facebook.com/blessingsprimitives/,not found
1430,1498898,W783006266,"EGLISE PRESBYTERIENNE CAMEROUNAISE, MISSION LA PAIX","exercice exclusif du culte par l'annonce de la bonne nouvelle du Salut en Jésus Christ à tous les hommes sans distinction aucun, la quête des âmes perdues par une adhésion à la foi en Jésus Christ, seigneur et sauveur des hommes ; appel à chacun, de se préparer à rencontrer Dieu et à préparer le retour de Jésus Christ comme seigneur et juste juge",2,PAS,des Murmures,95800,Cergy,,2 passage des murmures 95800 cergy,Val-d'Oise,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.0401563,49.048718,https://fr-fr.facebook.com/Eglise-Presbyt%C3%A9rienne-Camerounaise-107850822606502/,https://www.helloasso.com/associations/eglise-presbyterienne-sonann-de-paris
1431,1499050,W783006418,DONNONS LEUR DE L'ESPOIR,"a pour objet de venir en aide aux personnes en situation de détresse ou de grosses misères dans les pays pauvres (Rwanda, Cameroun, Sénégal, etc...) ; notre objectif sera de les aider financièrement, les accompagner tout au long de leur vie afin qu'ils retrouvent de l'espoir ; pour les enfants, un chemin à l'école, une aide en cas de maladie, un placement en cas d'abandon des proches et plus tard construire un orphelinat ; notre but est de mettre nos fonds propres mais aussi les collecter auprès de nos connaissances, amies, familles ou de personnes que nous ne connaissons pas, personnalités, tout type de personnes pouvant nous venir en aide",12,AV,Saint Germain,78600,Maisons-Laffitte,,12 avenue saint germain 78600 maisons-laffitte,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.1450951,48.9461437,https://www.facebook.com/people/Donnons-leur-de-lespoir/100083221904062/,https://www.helloasso.com/associations/association-francaise-de-l-ataxie-de-friedreich-afaf/collectes/routes-espoir
1432,1500110,W783010584,DON DU COEUR (DDC),aider les enfants défavorisés des villages camerounais,2,RUE,du 8 Mai 1945,78260,Achères,,2 rue du 8 mai 1945 78260 acheres,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.07053,48.963173,https://www.facebook.com/LES-DONS-DU-COEUR-1136203179744346/,https://www.helloasso.com/associations/don-du-c-ur-la-main-sur-le-c-ur/adhesions/cotisation-don-du-coeur
